account,activer_users,dt
Flashloan,82,2025-11-15 00:00:00+00:00
Flashloan,63,2025-05-12 00:00:00+00:00
Flashloan,16,2026-01-25 00:00:00+00:00
Flashloan,74,2025-09-02 00:00:00+00:00
Flashloan,19,2026-02-04 00:00:00+00:00
Flashloan,125,2025-10-14 00:00:00+00:00
Flashloan,78,2025-10-27 00:00:00+00:00
Flashloan,60,2025-08-16 00:00:00+00:00
Flashloan,77,2025-08-11 00:00:00+00:00
Flashloan,74,2025-07-15 00:00:00+00:00
Flashloan,39,2025-05-05 00:00:00+00:00
Flashloan,132,2025-03-03 00:00:00+00:00
Flashloan,86,2025-09-12 00:00:00+00:00
Flashloan,12,2026-02-12 00:00:00+00:00
Flashloan,27,2025-05-24 00:00:00+00:00
Flashloan,17,2026-02-07 00:00:00+00:00
Repay,447,2025-08-11 00:00:00+00:00
Repay,274,2025-07-15 00:00:00+00:00
Liquidation,2,2025-12-14 00:00:00+00:00
Liquidation,5,2025-07-18 00:00:00+00:00
Liquidation,5,2025-08-22 00:00:00+00:00
Liquidation,20,2026-02-04 00:00:00+00:00
Liquidation,1,2025-09-02 00:00:00+00:00
Repay,173,2025-05-05 00:00:00+00:00
Repay,401,2025-10-01 00:00:00+00:00
Repay,211,2025-04-16 00:00:00+00:00
Liquidation,27,2025-10-10 00:00:00+00:00
Repay,581,2026-02-07 00:00:00+00:00
Repay,526,2026-02-12 00:00:00+00:00
Repay,260,2025-05-24 00:00:00+00:00
Repay,278,2025-12-24 00:00:00+00:00
Repay,180,2025-04-18 00:00:00+00:00
Repay,373,2025-08-16 00:00:00+00:00
Repay,361,2025-03-03 00:00:00+00:00
Repay,342,2025-09-12 00:00:00+00:00
Repay,698,2026-01-25 00:00:00+00:00
Repay,217,2025-05-12 00:00:00+00:00
Repay,349,2025-11-15 00:00:00+00:00
Liquidation,1,2025-06-16 00:00:00+00:00
Liquidation,18,2025-04-06 00:00:00+00:00
Liquidation,3,2025-11-05 00:00:00+00:00
Liquidation,2,2026-01-15 00:00:00+00:00
Repay,486,2026-02-09 00:00:00+00:00
Repay,190,2025-03-26 00:00:00+00:00
Repay,418,2025-12-19 00:00:00+00:00
Flashloan,44,2025-09-08 00:00:00+00:00
Flashloan,82,2025-07-18 00:00:00+00:00
Flashloan,48,2025-10-25 00:00:00+00:00
Flashloan,10,2025-12-14 00:00:00+00:00
Flashloan,152,2025-08-22 00:00:00+00:00
Flashloan,68,2025-06-16 00:00:00+00:00
Flashloan,198,2025-10-10 00:00:00+00:00
Flashloan,13,2026-01-08 00:00:00+00:00
Flashloan,33,2025-05-03 00:00:00+00:00
Flashloan,93,2025-06-05 00:00:00+00:00
Flashloan,159,2025-08-19 00:00:00+00:00
Flashloan,52,2025-10-04 00:00:00+00:00
Flashloan,11,2026-02-09 00:00:00+00:00
Flashloan,54,2025-03-26 00:00:00+00:00
Flashloan,10,2025-12-19 00:00:00+00:00
Flashloan,98,2025-11-23 00:00:00+00:00
Flashloan,73,2025-04-12 00:00:00+00:00
Flashloan,87,2025-08-07 00:00:00+00:00
Flashloan,307,2025-04-06 00:00:00+00:00
Flashloan,173,2025-11-05 00:00:00+00:00
Flashloan,12,2026-01-15 00:00:00+00:00
Flashloan,45,2025-06-24 00:00:00+00:00
Flashloan,79,2025-05-08 00:00:00+00:00
Liquidation,2,2025-09-08 00:00:00+00:00
Liquidation,4,2025-08-07 00:00:00+00:00
Liquidation,3,2025-11-23 00:00:00+00:00
Liquidation,2,2025-04-12 00:00:00+00:00
Liquidation,7,2025-05-08 00:00:00+00:00
Liquidation,6,2025-08-19 00:00:00+00:00
Liquidation,5,2026-01-08 00:00:00+00:00
Liquidation,1,2025-05-03 00:00:00+00:00
Liquidation,10,2025-06-05 00:00:00+00:00
Liquidation,1,2025-10-04 00:00:00+00:00
Liquidation,6,2026-02-09 00:00:00+00:00
Liquidation,6,2025-03-26 00:00:00+00:00
Liquidation,2,2025-12-19 00:00:00+00:00
Repay,368,2025-06-05 00:00:00+00:00
Repay,456,2025-08-19 00:00:00+00:00
Repay,289,2025-10-04 00:00:00+00:00
Repay,500,2025-08-22 00:00:00+00:00
Repay,395,2026-01-15 00:00:00+00:00
Repay,731,2025-11-05 00:00:00+00:00
Repay,926,2025-04-06 00:00:00+00:00
Repay,1321,2026-02-04 00:00:00+00:00
Repay,331,2025-09-02 00:00:00+00:00
Repay,223,2025-10-25 00:00:00+00:00
Repay,410,2025-07-18 00:00:00+00:00
Repay,349,2025-12-14 00:00:00+00:00
Repay,634,2025-10-10 00:00:00+00:00
Repay,208,2025-06-16 00:00:00+00:00
Repay,274,2025-09-08 00:00:00+00:00
Repay,324,2025-11-23 00:00:00+00:00
Repay,393,2025-08-07 00:00:00+00:00
Repay,178,2025-04-12 00:00:00+00:00
Repay,187,2025-06-24 00:00:00+00:00
Repay,317,2025-05-08 00:00:00+00:00
Repay,372,2026-01-08 00:00:00+00:00
Repay,119,2025-05-03 00:00:00+00:00
Flashloan,67,2025-10-20 00:00:00+00:00
Flashloan,16,2025-12-09 00:00:00+00:00
Deposit,705,2026-01-10 00:00:00+00:00
Flashloan,8,2026-01-10 00:00:00+00:00
Flashloan,47,2025-04-28 00:00:00+00:00
