date,fees
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,12
2022-03-18,23
2022-03-19,79
2022-03-20,67
2022-03-21,73
2022-03-22,107
2022-03-23,138
2022-03-24,187
2022-03-25,233
2022-03-26,240
2022-03-27,368
2022-03-28,350
2022-03-29,293
2022-03-30,380
2022-03-31,579
2022-04-01,461
2022-04-02,746
2022-04-03,600
2022-04-04,673
2022-04-05,549
2022-04-06,866
2022-04-07,756
2022-04-08,614
2022-04-09,650
2022-04-10,460
2022-04-11,1264
2022-04-12,660
2022-04-13,658
2022-04-14,942
2022-04-15,744
2022-04-16,694
2022-04-17,631
2022-04-18,639
2022-04-19,1212
2022-04-20,8673
2022-04-21,166323
2022-04-22,237829
2022-04-23,243037
2022-04-24,218219
2022-04-25,199214
2022-04-26,266144
2022-04-27,230761
2022-04-28,238209
2022-04-29,226788
2022-04-30,224204
2022-05-01,210728
2022-05-02,213917
2022-05-03,215706
2022-05-04,206326
2022-05-05,207944
2022-05-06,200403
2022-05-07,197722
2022-05-08,198787
2022-05-09,205387
2022-05-10,164788
2022-05-11,311376
2022-05-12,187809
2022-05-13,80352
2022-05-14,84224
2022-05-15,85863
2022-05-16,85134
2022-05-17,86141
2022-05-18,84840
2022-05-19,92298
2022-05-20,115652
2022-05-21,125332
2022-05-22,86517
2022-05-23,83495
2022-05-24,82256
2022-05-25,82403
2022-05-26,99940
2022-05-27,60383
2022-05-28,58306
2022-05-29,64730
2022-05-30,61963
2022-05-31,64742
2022-06-01,93193
2022-06-02,144413
2022-06-03,190261
2022-06-04,213611
2022-06-05,219742
2022-06-06,248932
2022-06-07,232039
2022-06-08,249040
2022-06-09,258901
2022-06-10,256594
2022-06-11,275059
2022-06-12,281864
2022-06-13,392214
2022-06-14,204973
2022-06-15,196503
2022-06-16,169591
2022-06-17,172072
2022-06-18,182443
2022-06-19,180814
2022-06-20,179737
2022-06-21,163299
2022-06-22,164129
2022-06-23,168833
2022-06-24,164213
2022-06-25,160982
2022-06-26,160734
2022-06-27,159912
2022-06-28,156050
2022-06-29,158262
2022-06-30,175130
2022-07-01,157613
2022-07-02,164959
2022-07-03,148148
2022-07-04,131559
2022-07-05,145859
2022-07-06,118702
2022-07-07,108286
2022-07-08,113149
2022-07-09,115935
2022-07-10,114122
2022-07-11,112939
2022-07-12,112719
2022-07-13,104938
2022-07-14,102506
2022-07-15,104224
2022-07-16,103612
2022-07-17,113759
2022-07-18,124799
2022-07-19,123853
2022-07-20,132865
2022-07-21,141084
2022-07-22,126683
2022-07-23,94499
2022-07-24,95326
2022-07-25,97838
2022-07-26,86522
2022-07-27,86598
2022-07-28,102033
2022-07-29,124047
2022-07-30,115787
2022-07-31,93714
2022-08-01,113515
2022-08-02,102207
2022-08-03,91925
2022-08-04,85211
2022-08-05,84310
2022-08-06,102990
2022-08-07,129510
2022-08-08,101580
2022-08-09,95665
2022-08-10,99745
2022-08-11,95731
2022-08-12,94186
2022-08-13,100583
2022-08-14,102411
2022-08-15,112622
2022-08-16,111761
2022-08-17,89984
2022-08-18,85512
2022-08-19,125264
2022-08-20,83072
2022-08-21,73492
2022-08-22,78434
2022-08-23,76195
2022-08-24,75294
2022-08-25,77768
2022-08-26,77341
2022-08-27,70037
2022-08-28,92038
2022-08-29,106063
2022-08-30,57914
2022-08-31,64647
2022-09-01,68851
2022-09-02,61164
2022-09-03,59141
2022-09-04,55658
2022-09-05,64112
2022-09-06,99653
2022-09-07,59851
2022-09-08,103767
2022-09-09,70261
2022-09-10,67807
2022-09-11,68643
2022-09-12,72055
2022-09-13,88072
2022-09-14,74704
2022-09-15,69219
2022-09-16,55630
2022-09-17,54180
2022-09-18,56128
2022-09-19,58036
2022-09-20,57041
2022-09-21,61077
2022-09-22,60755
2022-09-23,57671
2022-09-24,57597
2022-09-25,58502
2022-09-26,56497
2022-09-27,58389
2022-09-28,49765
2022-09-29,47422
2022-09-30,46226
2022-10-01,44126
2022-10-02,43228
2022-10-03,45942
2022-10-04,45481
2022-10-05,49112
2022-10-06,46650
2022-10-07,45137
2022-10-08,40832
2022-10-09,37524
2022-10-10,44846
2022-10-11,40077
2022-10-12,39503
2022-10-13,41693
2022-10-14,38534
2022-10-15,36700
2022-10-16,35498
2022-10-17,34811
2022-10-18,35179
2022-10-19,31601
2022-10-20,29174
2022-10-21,28697
2022-10-22,29436
2022-10-23,28990
2022-10-24,28845
2022-10-25,31083
2022-10-26,31430
2022-10-27,32094
2022-10-28,31359
2022-10-29,31269
2022-10-30,31284
2022-10-31,32678
2022-11-01,33099
2022-11-02,31722
2022-11-03,29883
2022-11-04,34585
2022-11-05,32213
2022-11-06,31569
2022-11-07,32083
2022-11-08,63111
2022-11-09,72791
2022-11-10,42959
2022-11-11,21605
2022-11-12,23814
2022-11-13,22358
2022-11-14,25325
2022-11-15,19610
2022-11-16,28159
2022-11-17,22347
2022-11-18,19025
2022-11-19,21043
2022-11-20,19834
2022-11-21,23606
2022-11-22,19480
2022-11-23,17536
2022-11-24,17256
2022-11-25,17764
2022-11-26,19092
2022-11-27,18554
2022-11-28,19522
2022-11-29,18955
2022-11-30,19510
2022-12-01,19860
2022-12-02,28521
2022-12-03,15899
2022-12-04,16202
2022-12-05,16900
2022-12-06,16001
2022-12-07,14611
2022-12-08,14664
2022-12-09,14287
2022-12-10,14655
2022-12-11,14453
2022-12-12,18463
2022-12-13,16108
2022-12-14,11984
2022-12-15,11921
2022-12-16,23659
2022-12-17,15222
2022-12-18,18871
2022-12-19,13490
2022-12-20,12497
2022-12-21,12565
2022-12-22,13578
2022-12-23,12454
2022-12-24,15822
2022-12-25,12643
2022-12-26,12916
2022-12-27,13676
2022-12-28,13676
2022-12-29,13123
2022-12-30,12506
2022-12-31,10903
2023-01-01,12736
2023-01-02,11695
2023-01-03,12244
2023-01-04,12152
2023-01-05,11666
2023-01-06,12444
2023-01-07,12685
2023-01-08,13225
2023-01-09,12481
2023-01-10,12647
2023-01-11,13869
2023-01-12,13304
2023-01-13,13018
2023-01-14,15547
2023-01-15,22672
2023-01-16,16364
2023-01-17,17563
2023-01-18,17196
2023-01-19,17115
2023-01-20,16249
2023-01-21,15540
2023-01-22,15677
2023-01-23,15742
2023-01-24,15959
2023-01-25,15869
2023-01-26,15234
2023-01-27,19285
2023-01-28,17024
2023-01-29,17151
2023-01-30,19121
2023-01-31,17339
2023-02-01,18353
2023-02-02,19676
2023-02-03,18064
2023-02-04,17468
2023-02-05,17868
2023-02-06,28805
2023-02-07,24023
2023-02-08,23212
2023-02-09,28900
2023-02-10,19960
2023-02-11,19583
2023-02-12,20757
2023-02-13,21558
2023-02-14,21319
2023-02-15,24536
2023-02-16,57529
2023-02-17,22420
2023-02-18,22346
2023-02-19,24106
2023-02-20,24999
2023-02-21,24468
2023-02-22,23977
2023-02-23,24791
2023-02-24,25377
2023-02-25,22059
2023-02-26,22245
2023-02-27,23068
2023-02-28,22834
2023-03-01,23900
2023-03-02,24461
2023-03-03,23725
2023-03-04,21383
2023-03-05,20352
2023-03-06,20715
2023-03-07,20800
2023-03-08,22659
2023-03-09,85419
2023-03-10,35845
2023-03-11,275584
2023-03-12,271593
2023-03-13,52605
2023-03-14,42646
2023-03-15,33010
2023-03-16,32984
2023-03-17,80237
2023-03-18,33893
2023-03-19,34831
2023-03-20,32627
2023-03-21,37801
2023-03-22,42872
2023-03-23,35841
2023-03-24,34755
2023-03-25,34900
2023-03-26,38076
2023-03-27,54667
2023-03-28,37515
2023-03-29,39277
2023-03-30,40704
2023-03-31,41167
2023-04-01,38542
2023-04-02,39494
2023-04-03,42845
2023-04-04,52687
2023-04-05,51546
2023-04-06,50303
2023-04-07,50840
2023-04-08,49518
2023-04-09,47197
2023-04-10,49782
2023-04-11,50045
2023-04-12,51561
2023-04-13,56521
2023-04-14,53778
2023-04-15,60250
2023-04-16,50684
2023-04-17,49406
2023-04-18,51243
2023-04-19,52070
2023-04-20,51151
2023-04-21,58577
2023-04-22,46879
2023-04-23,47972
2023-04-24,47873
2023-04-25,49111
2023-04-26,53005
2023-04-27,50471
2023-04-28,50921
2023-04-29,50440
2023-04-30,49883
2023-05-01,48692
2023-05-02,45865
2023-05-03,47821
2023-05-04,54059
2023-05-05,53725
2023-05-06,57710
2023-05-07,56088
2023-05-08,71869
2023-05-09,54156
2023-05-10,55505
2023-05-11,59007
2023-05-12,63546
2023-05-13,60819
2023-05-14,58413
2023-05-15,57709
2023-05-16,57049
2023-05-17,60822
2023-05-18,56779
2023-05-19,57073
2023-05-20,56157
2023-05-21,57550
2023-05-22,55494
2023-05-23,56116
2023-05-24,55275
2023-05-25,53952
2023-05-26,63627
2023-05-27,55296
2023-05-28,58001
2023-05-29,59599
2023-05-30,54993
2023-05-31,71756
2023-06-01,64322
2023-06-02,67869
2023-06-03,65354
2023-06-04,64889
2023-06-05,130383
2023-06-06,66614
2023-06-07,66438
2023-06-08,67352
2023-06-09,69250
2023-06-10,358057
2023-06-11,62350
2023-06-12,170594
2023-06-13,60491
2023-06-14,74213
2023-06-15,63131
2023-06-16,63887
2023-06-17,63441
2023-06-18,62397
2023-06-19,63827
2023-06-20,68324
2023-06-21,74576
2023-06-22,71043
2023-06-23,73068
2023-06-24,69669
2023-06-25,80526
2023-06-26,76071
2023-06-27,72324
2023-06-28,70227
2023-06-29,71357
2023-06-30,71609
2023-07-01,72751
2023-07-02,73264
2023-07-03,71594
2023-07-04,69524
2023-07-05,75647
2023-07-06,74333
2023-07-07,72219
2023-07-08,72740
2023-07-09,73911
2023-07-10,73179
2023-07-11,86445
2023-07-12,76634
2023-07-13,123507
2023-07-14,120654
2023-07-15,84411
2023-07-16,84579
2023-07-17,80978
2023-07-18,79819
2023-07-19,85781
2023-07-20,87511
2023-07-21,76497
2023-07-22,77768
2023-07-23,84052
2023-07-24,98917
2023-07-25,76984
2023-07-26,79757
2023-07-27,84590
2023-07-28,78223
2023-07-29,78380
2023-07-30,204975
2023-07-31,229212
2023-08-01,193542
2023-08-02,134947
2023-08-03,150666
2023-08-04,125679
2023-08-05,127838
2023-08-06,102299
2023-08-07,123088
2023-08-08,118057
2023-08-09,130476
2023-08-10,106340
2023-08-11,129002
2023-08-12,116009
2023-08-13,100887
2023-08-14,112784
2023-08-15,121264
2023-08-16,97453
2023-08-17,661686
2023-08-18,90216
2023-08-19,87653
2023-08-20,78603
2023-08-21,85843
2023-08-22,86810
2023-08-23,76445
2023-08-24,79368
2023-08-25,81508
2023-08-26,76987
2023-08-27,90118
2023-08-28,86636
2023-08-29,131264
2023-08-30,103879
2023-08-31,105263
2023-09-01,98272
2023-09-02,91111
2023-09-03,90239
2023-09-04,98273
2023-09-05,102209
2023-09-06,104775
2023-09-07,98899
2023-09-08,102312
2023-09-09,96202
2023-09-10,105584
2023-09-11,123933
2023-09-12,102956
2023-09-13,119139
2023-09-14,100906
2023-09-15,98089
2023-09-16,103962
2023-09-17,102173
2023-09-18,132911
2023-09-19,114216
2023-09-20,107088
2023-09-21,108871
2023-09-22,111940
2023-09-23,124259
2023-09-24,106707
2023-09-25,106700
2023-09-26,106114
2023-09-27,104525
2023-09-28,117405
2023-09-29,131053
2023-09-30,154337
2023-10-01,123239
2023-10-02,154206
2023-10-03,161498
2023-10-04,130747
2023-10-05,135929
2023-10-06,133681
2023-10-07,122153
2023-10-08,122653
2023-10-09,122927
2023-10-10,129491
2023-10-11,118048
2023-10-12,167421
2023-10-13,128406
2023-10-14,112979
2023-10-15,121746
2023-10-16,153542
2023-10-17,165832
2023-10-18,182135
2023-10-19,129898
2023-10-20,149651
2023-10-21,127904
2023-10-22,125737
2023-10-23,236144
2023-10-24,183762
2023-10-25,177041
2023-10-26,167132
2023-10-27,162312
2023-10-28,183619
2023-10-29,159376
2023-10-30,194430
2023-10-31,143557
2023-11-01,161126
2023-11-02,202610
2023-11-03,173730
2023-11-04,185224
2023-11-05,245038
2023-11-06,246263
2023-11-07,189872
2023-11-08,179222
2023-11-09,241222
2023-11-10,193250
2023-11-11,228006
2023-11-12,296663
2023-11-13,250997
2023-11-14,285990
2023-11-15,226229
2023-11-16,287461
2023-11-17,230851
