date,fees
2025-02-11,127822
2025-02-12,126145
2025-02-13,128520
2025-02-14,126938
2025-02-15,126731
2025-02-16,129568
2025-02-17,125779
2025-02-18,129461
2025-02-19,126223
2025-02-20,126640
2025-02-21,122857
2025-02-22,123614
2025-02-23,121538
2025-02-24,122494
2025-02-25,117267
2025-02-26,117399
2025-02-27,119528
2025-02-28,105612
2025-03-01,101250
2025-03-02,105131
2025-03-03,105276
2025-03-04,105390
2025-03-05,101245
2025-03-06,100935
2025-03-07,106521
2025-03-08,106343
2025-03-09,102630
2025-03-10,99550
2025-03-11,97413
2025-03-12,97842
2025-03-13,97782
2025-03-14,96054
2025-03-15,96021
2025-03-16,95341
2025-03-17,96113
2025-03-18,97820
2025-03-19,99728
2025-03-20,119256
2025-03-21,100669
2025-03-22,100832
2025-03-23,100234
2025-03-24,100020
2025-03-25,100239
2025-03-26,104206
2025-03-27,101851
2025-03-28,100411
2025-03-29,97162
2025-03-30,97123
2025-03-31,96331
2025-04-01,90703
2025-04-02,90480
2025-04-03,89524
2025-04-04,85065
2025-04-05,85278
2025-04-06,82440
2025-04-07,94028
2025-04-08,84544
2025-04-09,83192
2025-04-10,88179
2025-04-11,83803
2025-04-12,86386
2025-04-13,86388
2025-04-14,87424
2025-04-15,82998
2025-04-16,82121
2025-04-17,81737
2025-04-18,82820
2025-04-19,82693
2025-04-20,83645
2025-04-21,85434
2025-04-22,87916
2025-04-23,86743
2025-04-24,86232
2025-04-25,88721
2025-04-26,88722
2025-04-27,89350
2025-04-28,88221
2025-04-29,90170
2025-04-30,88671
2025-05-01,92076
2025-05-02,91720
2025-05-03,91790
2025-05-04,91806
2025-05-05,93227
2025-05-06,90502
2025-05-07,92313
2025-05-08,95281
2025-05-09,79729
2025-05-10,80731
2025-05-11,94582
2025-05-12,85739
2025-05-13,90152
2025-05-14,103820
2025-05-15,86897
2025-05-16,97704
2025-05-17,88770
2025-05-18,110736
2025-05-19,99217
2025-05-20,90857
2025-05-21,115014
2025-05-22,145422
2025-05-23,96633
2025-05-24,92834
2025-05-25,94917
2025-05-26,113502
2025-05-27,92330
2025-05-28,97252
2025-05-29,93706
2025-05-30,102254
2025-05-31,89571
2025-06-01,88191
2025-06-02,89435
2025-06-03,91201
2025-06-04,90721
2025-06-05,95388
2025-06-06,96700
2025-06-07,99590
2025-06-08,113297
2025-06-09,151069
2025-06-10,138554
2025-06-11,98118
2025-06-12,122151
2025-06-13,121025
2025-06-14,93911
2025-06-15,100275
2025-06-16,115062
2025-06-17,88216
2025-06-18,90518
2025-06-19,127353
2025-06-20,112148
2025-06-21,89624
2025-06-22,109717
2025-06-23,87284
2025-06-24,90421
2025-06-25,86620
2025-06-26,98843
2025-06-27,96952
2025-06-28,95697
2025-06-29,104202
2025-06-30,92184
2025-07-01,127411
2025-07-02,108605
2025-07-03,111699
2025-07-04,112896
2025-07-05,100114
2025-07-06,113495
2025-07-07,102816
2025-07-08,124498
2025-07-09,132051
2025-07-10,132199
2025-07-11,154636
2025-07-12,110086
2025-07-13,116490
2025-07-14,146311
2025-07-15,154600
2025-07-16,188311
2025-07-17,211603
2025-07-18,176352
2025-07-19,149116
2025-07-20,171286
2025-07-21,145348
2025-07-22,122275
2025-07-23,188329
2025-07-24,170243
2025-07-25,163014
2025-07-26,147125
2025-07-27,126545
2025-07-28,152779
2025-07-29,162570
2025-07-30,243033
2025-07-31,234268
2025-08-01,177973
2025-08-02,113449
2025-08-03,129263
2025-08-04,114606
2025-08-05,112340
2025-08-06,116013
2025-08-07,120265
2025-08-08,111557
2025-08-09,107623
2025-08-10,101805
2025-08-11,101339
2025-08-12,114841
2025-08-13,128755
2025-08-14,106676
2025-08-15,140520
2025-08-16,120848
2025-08-17,156354
2025-08-18,149764
2025-08-19,133875
2025-08-20,173016
2025-08-21,144472
2025-08-22,124394
2025-08-23,146959
2025-08-24,127391
2025-08-25,130039
2025-08-26,135857
2025-08-27,146447
2025-08-28,149510
2025-08-29,125898
2025-08-30,111398
2025-08-31,118611
2025-09-01,126728
2025-09-02,122592
2025-09-03,190772
2025-09-04,145226
2025-09-05,161722
2025-09-06,140564
2025-09-07,180887
2025-09-08,128961
2025-09-09,102423
2025-09-10,103513
2025-09-11,145248
2025-09-12,136056
2025-09-13,123684
2025-09-14,139684
2025-09-15,139887
2025-09-16,154405
2025-09-17,141905
2025-09-18,122888
2025-09-19,146390
2025-09-20,145923
2025-09-21,147828
2025-09-22,137300
2025-09-23,141322
2025-09-24,116781
2025-09-25,114122
2025-09-26,131412
2025-09-27,125137
2025-09-28,111199
2025-09-29,117483
2025-09-30,137539
2025-10-01,140488
2025-10-02,167306
2025-10-03,166168
2025-10-04,143602
2025-10-05,109528
2025-10-06,127342
2025-10-07,119910
2025-10-08,130778
2025-10-09,147634
2025-10-10,101202
2025-10-11,107786
2025-10-12,111127
2025-10-13,107072
2025-10-14,113074
2025-10-15,108499
2025-10-16,105032
2025-10-17,118148
2025-10-18,106473
2025-10-19,120827
2025-10-20,113711
2025-10-21,107782
2025-10-22,142828
2025-10-23,167826
2025-10-24,110615
2025-10-25,105457
2025-10-26,118366
2025-10-27,121777
2025-10-28,134982
2025-10-29,103272
2025-10-30,105110
2025-10-31,123330
2025-11-01,131630
2025-11-02,134053
2025-11-03,103648
2025-11-04,99522
2025-11-05,92971
2025-11-06,91989
2025-11-07,149973
2025-11-08,152377
2025-11-09,132744
2025-11-10,128004
2025-11-11,120992
2025-11-12,118151
2025-11-13,147343
2025-11-14,89694
2025-11-15,90636
2025-11-16,84556
2025-11-17,101293
2025-11-18,83122
2025-11-19,82458
2025-11-20,87847
2025-11-21,77130
2025-11-22,74440
2025-11-23,77367
2025-11-24,78313
2025-11-25,78614
2025-11-26,74911
2025-11-27,76099
2025-11-28,76307
2025-11-29,75671
2025-11-30,76152
2025-12-01,77000
2025-12-02,75975
2025-12-03,78564
2025-12-04,78037
2025-12-05,77589
2025-12-06,77444
2025-12-07,78056
2025-12-08,77239
2025-12-09,84986
2025-12-10,86139
2025-12-11,82394
2025-12-12,82772
2025-12-13,82316
2025-12-14,82079
2025-12-15,82497
2025-12-16,82631
2025-12-17,81944
2025-12-18,81803
2025-12-19,82870
2025-12-20,87472
2025-12-21,94537
2025-12-22,88706
2025-12-23,106619
2025-12-24,90788
2025-12-25,88840
2025-12-26,84167
2025-12-27,84994
2025-12-28,83390
2025-12-29,82096
2025-12-30,81867
2025-12-31,96435
2026-01-01,85372
2026-01-02,86979
2026-01-03,85602
2026-01-04,86379
2026-01-05,89902
2026-01-06,88925
2026-01-07,83725
2026-01-08,90406
2026-01-09,91653
2026-01-10,85420
2026-01-11,93811
2026-01-12,83272
2026-01-13,84678
2026-01-14,90173
2026-01-15,90623
2026-01-16,90545
2026-01-17,86115
2026-01-18,91784
2026-01-19,95313
2026-01-20,83775
2026-01-21,78400
2026-01-22,78754
2026-01-23,91631
2026-01-24,91281
2026-01-25,87147
2026-01-26,85331
2026-01-27,97728
2026-01-28,80753
2026-01-29,79884
2026-01-30,74889
