date,fees
2020-11-01,25740
2020-11-02,17308
2020-11-03,27261
2020-11-04,35818
2020-11-05,33202
2020-11-06,30827
2020-11-07,64021
2020-11-08,45173
2020-11-09,43947
2020-11-10,26754
2020-11-11,48073
2020-11-12,28812
2020-11-13,29853
2020-11-14,39522
2020-11-15,45687
2020-11-16,212621
2020-11-17,39540
2020-11-18,50287
2020-11-19,59839
2020-11-20,70439
2020-11-21,56305
2020-11-22,50611
2020-11-23,44595
2020-11-24,54042
2020-11-25,51845
2020-11-26,38705
2020-11-27,28095
2020-11-28,96753
2020-11-29,31374
2020-11-30,29763
2020-12-01,20559
2020-12-02,99721
2020-12-03,46825
2020-12-04,41994
2020-12-05,40048
2020-12-06,39546
2020-12-07,50399
2020-12-08,29819
2020-12-09,38522
2020-12-10,34050
2020-12-11,41727
2020-12-12,53828
2020-12-13,30872
2020-12-14,53642
2020-12-15,27230
2020-12-16,30692
2020-12-17,28019
2020-12-18,46680
2020-12-19,44432
2020-12-20,78995
2020-12-21,31329
2020-12-22,28797
2020-12-23,52217
2020-12-24,101044
2020-12-25,63290
2020-12-26,59948
2020-12-27,42821
2020-12-28,56893
2020-12-29,81916
2020-12-30,73941
2020-12-31,53005
2021-01-01,142576
2021-01-02,82380
2021-01-03,69417
2021-01-04,246935
2021-01-05,101255
2021-01-06,153892
2021-01-07,92204
2021-01-08,126685
2021-01-09,118815
2021-01-10,117779
2021-01-11,89912
2021-01-12,88763
2021-01-13,142964
2021-01-14,108210
2021-01-15,79028
2021-01-16,146535
2021-01-17,115400
2021-01-18,94726
2021-01-19,84370
2021-01-20,99237
2021-01-21,139824
2021-01-22,107409
2021-01-23,138784
2021-01-24,244904
2021-01-25,120798
2021-01-26,122486
2021-01-27,166803
2021-01-28,148782
2021-01-29,128922
2021-01-30,123255
2021-01-31,185151
2021-02-01,91497
2021-02-02,119222
2021-02-03,127731
2021-02-04,144053
2021-02-05,116735
2021-02-06,152727
2021-02-07,157165
2021-02-08,154512
2021-02-09,163268
2021-02-10,196500
2021-02-11,185240
2021-02-12,222836
2021-02-13,250484
2021-02-14,150670
2021-02-15,173346
2021-02-16,190396
2021-02-17,165133
2021-02-18,166003
2021-02-19,213138
2021-02-20,215194
2021-02-21,209907
2021-02-22,248988
2021-02-23,206373
2021-02-24,268140
2021-02-25,260489
2021-02-26,196663
2021-02-27,421513
2021-02-28,232005
2021-03-01,192037
2021-03-02,288626
2021-03-03,236909
2021-03-04,248348
2021-03-05,314995
2021-03-06,272652
2021-03-07,258625
2021-03-08,239141
2021-03-09,563032
2021-03-10,251356
2021-03-11,287347
2021-03-12,235214
2021-03-13,240845
2021-03-14,341429
2021-03-15,232474
2021-03-16,211706
2021-03-17,218959
2021-03-18,204688
2021-03-19,173229
2021-03-20,348293
2021-03-21,206958
2021-03-22,186618
2021-03-23,218871
2021-03-24,228745
2021-03-25,206914
2021-03-26,375663
2021-03-27,221533
2021-03-28,281736
2021-03-29,201239
2021-03-30,204231
2021-03-31,245016
2021-04-01,240061
2021-04-02,289837
2021-04-03,263356
2021-04-04,276035
2021-04-05,349736
2021-04-06,239342
2021-04-07,269640
2021-04-08,200414
2021-04-09,402538
2021-04-10,341028
2021-04-11,335457
2021-04-12,379989
2021-04-13,284850
2021-04-14,380836
2021-04-15,571383
2021-04-16,401580
2021-04-17,318010
2021-04-18,419246
2021-04-19,287120
2021-04-20,438274
2021-04-21,766007
2021-04-22,436915
2021-04-23,329659
2021-04-24,365681
2021-04-25,429729
2021-04-26,315110
2021-04-27,286472
2021-04-28,446553
2021-04-29,526871
2021-04-30,384584
2021-05-01,425417
2021-05-02,190640
2021-05-03,191926
2021-05-04,173288
2021-05-05,320631
2021-05-06,372883
2021-05-07,246557
2021-05-08,344658
2021-05-09,333787
2021-05-10,229423
2021-05-11,222211
2021-05-12,241595
2021-05-13,283817
2021-05-14,321064
2021-05-15,430957
2021-05-16,501737
2021-05-17,257149
2021-05-18,380161
2021-05-19,451419
2021-05-20,310638
2021-05-21,1393784
2021-05-22,743200
2021-05-23,592550
2021-05-24,312892
2021-05-25,970530
2021-05-26,446319
2021-05-27,337109
2021-05-28,415409
2021-05-29,488762
2021-05-30,270985
2021-05-31,321084
2021-06-01,341552
2021-06-02,241626
2021-06-03,283115
2021-06-04,528766
2021-06-05,273592
2021-06-06,255160
2021-06-07,253045
2021-06-08,170249
2021-06-09,201696
2021-06-10,310119
2021-06-11,386870
2021-06-12,329654
2021-06-13,377670
2021-06-14,215143
2021-06-15,182884
2021-06-16,356857
2021-06-17,311073
2021-06-18,491200
2021-06-19,504336
2021-06-20,356423
2021-06-21,236666
2021-06-22,193450
2021-06-23,627710
2021-06-24,510781
2021-06-25,456181
2021-06-26,268898
2021-06-27,234365
2021-06-28,116521
2021-06-29,173870
2021-06-30,226451
2021-07-01,439773
2021-07-02,217560
2021-07-03,367747
2021-07-04,185894
2021-07-05,205625
2021-07-06,100261
2021-07-07,117754
2021-07-08,323548
2021-07-09,151246
2021-07-10,230163
2021-07-11,183483
2021-07-12,122087
2021-07-13,88379
2021-07-14,187809
2021-07-15,220103
2021-07-16,269250
2021-07-17,250143
2021-07-18,193724
2021-07-19,117601
2021-07-20,88523
2021-07-21,208523
2021-07-22,275238
2021-07-23,335454
2021-07-24,155175
2021-07-25,138008
2021-07-26,170527
2021-07-27,144386
2021-07-28,241461
2021-07-29,124500
2021-07-30,280221
2021-07-31,187015
2021-08-01,185256
2021-08-02,151554
2021-08-03,261292
2021-08-04,184356
2021-08-05,523891
2021-08-06,270347
2021-08-07,248391
2021-08-08,334668
2021-08-09,284987
2021-08-10,219351
2021-08-11,247978
2021-08-12,336180
2021-08-13,338195
2021-08-14,291081
2021-08-15,239648
2021-08-16,184872
2021-08-17,148420
2021-08-18,318328
2021-08-19,236035
2021-08-20,492377
2021-08-21,219783
2021-08-22,290068
2021-08-23,287955
2021-08-24,167176
2021-08-25,222314
2021-08-26,467577
2021-08-27,195000
2021-08-28,187063
2021-08-29,196598
2021-08-30,126314
2021-08-31,133518
2021-09-01,207939
2021-09-02,231393
2021-09-03,217017
2021-09-04,282890
2021-09-05,186373
2021-09-06,127075
2021-09-07,162413
2021-09-08,180997
2021-09-09,446984
2021-09-10,327599
2021-09-11,354321
2021-09-12,316263
2021-09-13,319978
2021-09-14,292346
2021-09-15,209182
2021-09-16,238465
2021-09-17,392348
2021-09-18,348482
2021-09-19,205190
2021-09-20,135519
2021-09-21,189310
2021-09-22,437718
2021-09-23,429309
2021-09-24,255865
2021-09-25,355731
2021-09-26,468926
2021-09-27,257277
2021-09-28,279217
2021-09-29,311955
2021-09-30,283939
2021-10-01,208625
2021-10-02,307510
2021-10-03,349575
2021-10-04,213625
2021-10-05,281343
2021-10-06,270036
2021-10-07,340883
2021-10-08,466237
2021-10-09,451101
2021-10-10,474103
2021-10-11,338470
2021-10-12,424469
2021-10-13,313932
2021-10-14,383861
2021-10-15,376936
2021-10-16,551193
2021-10-17,509549
2021-10-18,369060
2021-10-19,238582
2021-10-20,355415
2021-10-21,341157
2021-10-22,569009
2021-10-23,440274
2021-10-24,452415
2021-10-25,308541
2021-10-26,279832
2021-10-27,400855
2021-10-28,423481
2021-10-29,689003
2021-10-30,656134
2021-10-31,808974
2021-11-01,415571
2021-11-02,369730
2021-11-03,304030
2021-11-04,423034
2021-11-05,325503
2021-11-06,432612
2021-11-07,441501
2021-11-08,291802
2021-11-09,403791
2021-11-10,502714
2021-11-11,600997
2021-11-12,396978
2021-11-13,468741
2021-11-14,263379
2021-11-15,346269
