date,revenue
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,2
2022-03-18,4
2022-03-19,12
2022-03-20,8
2022-03-21,11
2022-03-22,16
2022-03-23,24
2022-03-24,29
2022-03-25,35
2022-03-26,34
2022-03-27,47
2022-03-28,50
2022-03-29,42
2022-03-30,59
2022-03-31,68
2022-04-01,65
2022-04-02,116
2022-04-03,82
2022-04-04,85
2022-04-05,70
2022-04-06,118
2022-04-07,94
2022-04-08,82
2022-04-09,95
2022-04-10,66
2022-04-11,159
2022-04-12,104
2022-04-13,102
2022-04-14,132
2022-04-15,114
2022-04-16,110
2022-04-17,90
2022-04-18,92
2022-04-19,168
2022-04-20,1014
2022-04-21,17871
2022-04-22,25457
2022-04-23,25991
2022-04-24,23779
2022-04-25,22156
2022-04-26,29061
2022-04-27,25716
2022-04-28,26786
2022-04-29,25432
2022-04-30,24716
2022-05-01,23393
2022-05-02,23815
2022-05-03,24212
2022-05-04,23720
2022-05-05,23452
2022-05-06,22537
2022-05-07,21895
2022-05-08,22119
2022-05-09,22272
2022-05-10,18026
2022-05-11,32210
2022-05-12,20033
2022-05-13,9438
2022-05-14,9923
2022-05-15,10335
2022-05-16,10097
2022-05-17,10291
2022-05-18,9954
2022-05-19,10712
2022-05-20,13030
2022-05-21,14080
2022-05-22,10389
2022-05-23,9849
2022-05-24,9761
2022-05-25,9654
2022-05-26,11173
2022-05-27,7167
2022-05-28,7096
2022-05-29,7814
2022-05-30,7385
2022-05-31,7564
2022-06-01,10229
2022-06-02,15328
2022-06-03,19878
2022-06-04,22254
2022-06-05,22845
2022-06-06,25842
2022-06-07,24100
2022-06-08,25816
2022-06-09,26856
2022-06-10,26554
2022-06-11,28303
2022-06-12,28940
2022-06-13,39945
2022-06-14,21099
2022-06-15,20437
2022-06-16,17606
2022-06-17,17897
2022-06-18,18888
2022-06-19,18851
2022-06-20,18800
2022-06-21,17116
2022-06-22,17263
2022-06-23,17734
2022-06-24,17275
2022-06-25,16910
2022-06-26,16830
2022-06-27,16683
2022-06-28,16249
2022-06-29,16467
2022-06-30,18142
2022-07-01,16371
2022-07-02,17102
2022-07-03,15439
2022-07-04,13908
2022-07-05,15444
2022-07-06,12711
2022-07-07,11477
2022-07-08,11782
2022-07-09,12008
2022-07-10,11723
2022-07-11,11609
2022-07-12,11592
2022-07-13,10927
2022-07-14,10646
2022-07-15,10782
2022-07-16,10746
2022-07-17,11745
2022-07-18,12897
2022-07-19,12807
2022-07-20,13735
2022-07-21,14635
2022-07-22,13109
2022-07-23,9900
2022-07-24,10038
2022-07-25,10242
2022-07-26,9133
2022-07-27,9178
2022-07-28,10740
2022-07-29,12978
2022-07-30,12151
2022-07-31,9939
2022-08-01,11929
2022-08-02,10821
2022-08-03,9811
2022-08-04,9051
2022-08-05,8960
2022-08-06,10994
2022-08-07,13791
2022-08-08,10939
2022-08-09,10404
2022-08-10,10876
2022-08-11,10424
2022-08-12,10259
2022-08-13,11178
2022-08-14,11243
2022-08-15,12213
2022-08-16,12145
2022-08-17,10048
2022-08-18,9563
2022-08-19,13396
2022-08-20,9122
2022-08-21,8168
2022-08-22,8633
2022-08-23,8466
2022-08-24,8348
2022-08-25,8505
2022-08-26,8385
2022-08-27,7567
2022-08-28,9724
2022-08-29,11173
2022-08-30,6408
2022-08-31,7063
2022-09-01,7572
2022-09-02,6741
2022-09-03,6539
2022-09-04,6143
2022-09-05,7038
2022-09-06,10509
2022-09-07,6588
2022-09-08,10976
2022-09-09,7706
2022-09-10,7530
2022-09-11,7551
2022-09-12,8047
2022-09-13,9751
2022-09-14,8121
2022-09-15,7573
2022-09-16,6198
2022-09-17,6124
2022-09-18,6252
2022-09-19,6481
2022-09-20,6351
2022-09-21,6933
2022-09-22,6823
2022-09-23,6423
2022-09-24,6328
2022-09-25,6310
2022-09-26,6153
2022-09-27,6372
2022-09-28,5524
2022-09-29,5471
2022-09-30,5291
2022-10-01,5164
2022-10-02,5095
2022-10-03,5324
2022-10-04,5197
2022-10-05,5685
2022-10-06,5458
2022-10-07,5519
2022-10-08,4993
2022-10-09,4485
2022-10-10,5186
2022-10-11,4683
2022-10-12,4658
2022-10-13,4947
2022-10-14,4567
2022-10-15,4386
2022-10-16,4128
2022-10-17,4073
2022-10-18,4099
2022-10-19,3703
2022-10-20,3479
2022-10-21,3498
2022-10-22,3605
2022-10-23,3593
2022-10-24,3546
2022-10-25,3865
2022-10-26,3937
2022-10-27,4040
2022-10-28,3969
2022-10-29,3948
2022-10-30,3942
2022-10-31,4087
2022-11-01,4120
2022-11-02,3934
2022-11-03,3753
2022-11-04,4355
2022-11-05,4036
2022-11-06,3907
2022-11-07,4012
2022-11-08,7073
2022-11-09,7907
2022-11-10,4806
2022-11-11,2767
2022-11-12,2980
2022-11-13,2831
2022-11-14,2993
2022-11-15,2432
2022-11-16,3280
2022-11-17,2713
2022-11-18,2355
2022-11-19,2461
2022-11-20,2349
2022-11-21,2729
2022-11-22,2348
2022-11-23,2156
2022-11-24,2106
2022-11-25,2102
2022-11-26,2221
2022-11-27,2175
2022-11-28,2284
2022-11-29,2231
2022-11-30,2340
2022-12-01,2368
2022-12-02,3223
2022-12-03,1915
2022-12-04,1967
2022-12-05,2058
2022-12-06,1999
2022-12-07,1787
2022-12-08,1825
2022-12-09,1766
2022-12-10,1808
2022-12-11,1771
2022-12-12,2179
2022-12-13,2047
2022-12-14,1536
2022-12-15,1501
2022-12-16,2669
2022-12-17,1807
2022-12-18,2165
2022-12-19,1617
2022-12-20,1523
2022-12-21,1544
2022-12-22,1806
2022-12-23,1482
2022-12-24,2086
2022-12-25,1507
2022-12-26,1528
2022-12-27,1609
2022-12-28,1594
2022-12-29,1543
2022-12-30,1502
2022-12-31,1341
2023-01-01,1518
2023-01-02,1432
2023-01-03,1480
2023-01-04,1477
2023-01-05,1428
2023-01-06,1531
2023-01-07,1557
2023-01-08,1623
2023-01-09,1550
2023-01-10,1575
2023-01-11,1711
2023-01-12,1639
2023-01-13,1607
2023-01-14,1906
2023-01-15,3224
2023-01-16,1994
2023-01-17,2150
2023-01-18,2082
2023-01-19,2046
2023-01-20,1973
2023-01-21,1894
2023-01-22,1920
2023-01-23,1947
2023-01-24,1956
2023-01-25,1908
2023-01-26,1867
2023-01-27,2356
2023-01-28,2125
2023-01-29,2149
2023-01-30,2416
2023-01-31,2178
2023-02-01,2260
2023-02-02,2405
2023-02-03,2308
2023-02-04,2221
2023-02-05,2290
2023-02-06,3407
2023-02-07,3011
2023-02-08,3007
2023-02-09,3518
2023-02-10,2527
2023-02-11,2491
2023-02-12,2604
2023-02-13,2689
2023-02-14,2760
2023-02-15,3237
2023-02-16,6426
2023-02-17,2923
2023-02-18,2920
2023-02-19,3125
2023-02-20,3245
2023-02-21,3185
2023-02-22,3153
2023-02-23,3216
2023-02-24,3238
2023-02-25,2912
2023-02-26,2946
2023-02-27,3085
2023-02-28,3103
2023-03-01,3263
2023-03-02,3290
2023-03-03,3236
2023-03-04,2952
2023-03-05,2822
2023-03-06,2890
2023-03-07,2945
2023-03-08,3150
2023-03-09,10471
2023-03-10,4658
2023-03-11,28927
2023-03-12,28240
2023-03-13,6590
2023-03-14,5830
2023-03-15,4686
2023-03-16,4746
2023-03-17,11821
2023-03-18,4906
2023-03-19,4959
2023-03-20,4639
2023-03-21,5322
2023-03-22,5767
2023-03-23,5059
2023-03-24,4905
2023-03-25,4934
2023-03-26,5425
2023-03-27,7066
2023-03-28,5260
2023-03-29,5564
2023-03-30,5735
2023-03-31,5864
2023-04-01,5446
2023-04-02,5548
2023-04-03,6093
2023-04-04,7739
2023-04-05,7427
2023-04-06,7115
2023-04-07,7147
2023-04-08,6996
2023-04-09,6637
2023-04-10,7036
2023-04-11,7095
2023-04-12,7325
2023-04-13,7947
2023-04-14,7562
2023-04-15,8939
2023-04-16,7160
2023-04-17,6957
2023-04-18,7253
2023-04-19,7108
2023-04-20,7081
2023-04-21,7682
2023-04-22,6431
2023-04-23,6565
2023-04-24,6481
2023-04-25,6706
2023-04-26,7218
2023-04-27,6863
2023-04-28,7160
2023-04-29,6972
2023-04-30,6735
2023-05-01,6614
2023-05-02,6205
2023-05-03,6424
2023-05-04,7396
2023-05-05,7317
2023-05-06,7949
2023-05-07,7706
2023-05-08,9852
2023-05-09,7340
2023-05-10,7579
2023-05-11,7966
2023-05-12,8543
2023-05-13,8472
2023-05-14,8081
2023-05-15,7965
2023-05-16,7976
2023-05-17,8332
2023-05-18,7800
2023-05-19,7874
2023-05-20,7772
2023-05-21,7957
2023-05-22,7669
2023-05-23,7843
2023-05-24,7688
2023-05-25,7421
2023-05-26,9548
2023-05-27,7764
2023-05-28,8094
2023-05-29,8207
2023-05-30,7570
2023-05-31,10049
2023-06-01,8911
2023-06-02,9523
2023-06-03,9158
2023-06-04,9037
2023-06-05,15629
2023-06-06,9345
2023-06-07,9231
2023-06-08,9275
2023-06-09,9501
2023-06-10,42931
2023-06-11,8440
2023-06-12,25570
2023-06-13,8278
2023-06-14,9550
2023-06-15,8345
2023-06-16,8814
2023-06-17,8608
2023-06-18,8475
2023-06-19,8699
2023-06-20,9305
2023-06-21,10355
2023-06-22,9475
2023-06-23,9766
2023-06-24,9380
2023-06-25,10464
2023-06-26,10033
2023-06-27,9701
2023-06-28,9346
2023-06-29,9632
2023-06-30,9679
2023-07-01,9777
2023-07-02,9755
2023-07-03,9554
2023-07-04,9183
2023-07-05,9777
2023-07-06,9651
2023-07-07,9406
2023-07-08,9486
2023-07-09,9645
2023-07-10,9570
2023-07-11,11004
2023-07-12,10013
2023-07-13,14823
2023-07-14,14427
2023-07-15,10708
2023-07-16,10811
2023-07-17,10459
2023-07-18,10186
2023-07-19,10884
2023-07-20,10985
2023-07-21,9903
2023-07-22,10008
2023-07-23,10642
2023-07-24,12153
2023-07-25,9991
2023-07-26,10267
2023-07-27,10791
2023-07-28,10128
2023-07-29,10232
2023-07-30,22982
2023-07-31,25877
2023-08-01,22366
2023-08-02,16080
2023-08-03,17921
2023-08-04,15367
2023-08-05,15904
2023-08-06,13516
2023-08-07,15381
2023-08-08,14542
2023-08-09,15789
2023-08-10,13259
2023-08-11,15396
2023-08-12,14185
2023-08-13,12652
2023-08-14,13876
2023-08-15,14855
2023-08-16,12433
2023-08-17,68885
2023-08-18,11574
2023-08-19,11286
2023-08-20,10407
2023-08-21,11292
2023-08-22,11363
2023-08-23,10415
2023-08-24,10715
2023-08-25,10122
2023-08-26,9574
2023-08-27,10961
2023-08-28,10495
2023-08-29,19857
2023-08-30,13510
2023-08-31,13757
2023-09-01,12982
2023-09-02,12421
2023-09-03,12247
2023-09-04,13071
2023-09-05,13708
2023-09-06,13846
2023-09-07,13097
2023-09-08,13632
2023-09-09,12749
2023-09-10,14051
2023-09-11,15565
2023-09-12,13428
2023-09-13,15158
2023-09-14,13211
2023-09-15,13121
2023-09-16,13436
2023-09-17,13470
2023-09-18,16435
2023-09-19,14733
2023-09-20,14197
2023-09-21,14441
2023-09-22,15016
2023-09-23,16476
2023-09-24,14420
2023-09-25,14496
2023-09-26,14407
2023-09-27,14393
2023-09-28,15691
2023-09-29,17091
2023-09-30,19303
2023-10-01,16591
2023-10-02,19300
2023-10-03,20723
2023-10-04,16927
2023-10-05,17502
2023-10-06,17272
2023-10-07,16131
2023-10-08,16244
2023-10-09,16732
2023-10-10,16955
2023-10-11,15773
2023-10-12,22318
2023-10-13,16799
2023-10-14,15147
2023-10-15,16080
2023-10-16,19152
2023-10-17,20645
2023-10-18,25550
2023-10-19,17105
2023-10-20,18961
2023-10-21,16898
2023-10-22,16611
2023-10-23,32098
2023-10-24,23014
2023-10-25,22546
2023-10-26,21349
2023-10-27,20939
2023-10-28,22632
2023-10-29,20650
2023-10-30,23996
2023-10-31,18681
2023-11-01,20970
2023-11-02,24629
2023-11-03,22041
2023-11-04,23101
2023-11-05,29372
2023-11-06,30162
2023-11-07,25752
2023-11-08,23243
2023-11-09,32609
2023-11-10,25031
2023-11-11,28015
2023-11-12,34931
2023-11-13,30033
2023-11-14,33977
2023-11-15,29270
2023-11-16,35432
2023-11-17,29811
