date,revenue
2020-11-01,12870
2020-11-02,8654
2020-11-03,13630
2020-11-04,17909
2020-11-05,16601
2020-11-06,15413
2020-11-07,32010
2020-11-08,22587
2020-11-09,21974
2020-11-10,13362
2020-11-11,23428
2020-11-12,14096
2020-11-13,14704
2020-11-14,19439
2020-11-15,22506
2020-11-16,104511
2020-11-17,19399
2020-11-18,24693
2020-11-19,29346
2020-11-20,34634
2020-11-21,27911
2020-11-22,25028
2020-11-23,21986
2020-11-24,26753
2020-11-25,25765
2020-11-26,19181
2020-11-27,13947
2020-11-28,48134
2020-11-29,15516
2020-11-30,14660
2020-12-01,10165
2020-12-02,49860
2020-12-03,23412
2020-12-04,20997
2020-12-05,20024
2020-12-06,19773
2020-12-07,25199
2020-12-08,14910
2020-12-09,19261
2020-12-10,17025
2020-12-11,20864
2020-12-12,26914
2020-12-13,15436
2020-12-14,26821
2020-12-15,13615
2020-12-16,15346
2020-12-17,14009
2020-12-18,23340
2020-12-19,22216
2020-12-20,39497
2020-12-21,15664
2020-12-22,14399
2020-12-23,26108
2020-12-24,50522
2020-12-25,31645
2020-12-26,29974
2020-12-27,21411
2020-12-28,28447
2020-12-29,40958
2020-12-30,36971
2020-12-31,26502
2021-01-01,71288
2021-01-02,41190
2021-01-03,34708
2021-01-04,123468
2021-01-05,50628
2021-01-06,76946
2021-01-07,46102
2021-01-08,63342
2021-01-09,59407
2021-01-10,58889
2021-01-11,44956
2021-01-12,44382
2021-01-13,71482
2021-01-14,54105
2021-01-15,39514
2021-01-16,73267
2021-01-17,57700
2021-01-18,47363
2021-01-19,42185
2021-01-20,49619
2021-01-21,69912
2021-01-22,53704
2021-01-23,69392
2021-01-24,122452
2021-01-25,60399
2021-01-26,61243
2021-01-27,83401
2021-01-28,74391
2021-01-29,64461
2021-01-30,61627
2021-01-31,92576
2021-02-01,45749
2021-02-02,59611
2021-02-03,63866
2021-02-04,72026
2021-02-05,58368
2021-02-06,76363
2021-02-07,78582
2021-02-08,77256
2021-02-09,81634
2021-02-10,98250
2021-02-11,92620
2021-02-12,111418
2021-02-13,125242
2021-02-14,75335
2021-02-15,86673
2021-02-16,95198
2021-02-17,82566
2021-02-18,83001
2021-02-19,106569
2021-02-20,107597
2021-02-21,104954
2021-02-22,124494
2021-02-23,103186
2021-02-24,134070
2021-02-25,130244
2021-02-26,98331
2021-02-27,210757
2021-02-28,116002
2021-03-01,96019
2021-03-02,144313
2021-03-03,118454
2021-03-04,124174
2021-03-05,157498
2021-03-06,136326
2021-03-07,129313
2021-03-08,119570
2021-03-09,281516
2021-03-10,125678
2021-03-11,143674
2021-03-12,117607
2021-03-13,120422
2021-03-14,170714
2021-03-15,116237
2021-03-16,105853
2021-03-17,109480
2021-03-18,102344
2021-03-19,86614
2021-03-20,174146
