date,revenue
2021-04-30,15500
2021-05-01,16126
2021-05-02,16556
2021-05-03,17868
2021-05-04,19379
2021-05-05,19055
2021-05-06,18962
2021-05-07,19211
2021-05-08,20363
2021-05-09,22255
2021-05-10,24082
2021-05-11,22662
2021-05-12,25693
2021-05-13,24886
2021-05-14,21313
2021-05-15,24272
2021-05-16,26854
2021-05-17,24853
2021-05-18,24597
2021-05-19,19061
2021-05-20,19589
2021-05-21,19141
2021-05-22,17127
2021-05-23,14979
2021-05-24,17028
2021-05-25,17639
2021-05-26,20458
2021-05-27,19999
2021-05-28,18948
2021-05-29,18960
2021-05-30,20135
2021-05-31,21182
2021-06-01,21691
2021-06-02,22625
2021-06-03,23245
2021-06-04,21368
2021-06-05,22032
2021-06-06,22359
2021-06-07,23322
2021-06-08,21224
2021-06-09,22083
2021-06-10,21799
2021-06-11,21198
2021-06-12,21282
2021-06-13,20734
2021-06-14,21862
2021-06-15,22739
2021-06-16,21554
2021-06-17,18612
2021-06-18,20262
2021-06-19,19932
2021-06-20,18187
2021-06-21,17400
2021-06-22,16527
2021-06-23,18812
2021-06-24,18699
2021-06-25,17735
2021-06-26,17139
2021-06-27,17901
2021-06-28,19678
2021-06-29,21378
2021-06-30,21281
2021-07-01,20902
2021-07-02,19980
2021-07-03,21774
2021-07-04,22704
2021-07-05,21494
2021-07-06,22643
2021-07-07,23506
2021-07-08,21387
2021-07-09,20888
2021-07-10,21900
2021-07-11,22152
2021-07-12,21980
2021-07-13,21475
2021-07-14,20774
2021-07-15,20355
2021-07-16,20035
2021-07-17,19983
2021-07-18,20902
2021-07-19,19702
2021-07-20,19215
2021-07-21,21458
2021-07-22,21902
2021-07-23,22955
2021-07-24,24099
2021-07-25,24659
2021-07-26,26920
2021-07-27,26271
2021-07-28,26924
2021-07-29,26577
2021-07-30,27256
2021-07-31,28684
2021-08-01,30621
2021-08-02,30558
2021-08-03,29949
2021-08-04,30184
2021-08-05,31881
2021-08-06,34609
2021-08-07,39383
2021-08-08,39170
2021-08-09,39517
2021-08-10,39950
2021-08-11,41123
2021-08-12,39660
2021-08-13,41233
2021-08-14,41318
2021-08-15,40831
2021-08-16,42556
2021-08-17,42603
2021-08-18,39762
2021-08-19,40483
2021-08-20,42633
2021-08-21,42096
2021-08-22,45162
2021-08-23,45959
