date,revenue
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,152
2019-11-19,759
2019-11-20,1003
2019-11-21,1410
2019-11-22,1620
2019-11-23,1759
2019-11-24,1753
2019-11-25,1948
2019-11-26,1963
2019-11-27,1935
2019-11-28,2118
2019-11-29,2241
2019-11-30,2315
2019-12-01,2528
2019-12-02,4344
2019-12-03,5031
2019-12-04,5088
2019-12-05,5101
2019-12-06,4745
2019-12-07,4752
2019-12-08,4827
2019-12-09,4760
2019-12-10,4739
2019-12-11,4775
2019-12-12,4842
2019-12-13,4873
2019-12-14,4902
2019-12-15,4888
2019-12-16,5041
2019-12-17,5133
2019-12-18,5140
2019-12-19,5290
2019-12-20,4609
2019-12-21,4677
2019-12-22,4713
2019-12-23,4646
2019-12-24,4683
2019-12-25,4607
2019-12-26,4572
2019-12-27,4474
2019-12-28,4554
2019-12-29,4588
2019-12-30,4558
2019-12-31,4533
2020-01-01,4539
2020-01-02,4530
2020-01-03,4625
2020-01-04,4576
2020-01-05,4591
2020-01-06,4835
2020-01-07,4888
2020-01-08,7383
2020-01-09,7355
2020-01-10,7219
2020-01-11,7177
2020-01-12,7185
2020-01-13,7130
2020-01-14,7085
2020-01-15,7290
2020-01-16,7318
2020-01-17,7436
2020-01-18,8478
2020-01-19,8390
2020-01-20,9656
2020-01-21,9768
2020-01-22,9823
2020-01-23,9824
2020-01-24,9666
2020-01-25,9502
2020-01-26,12799
2020-01-27,12520
2020-01-28,12399
2020-01-29,12342
2020-01-30,12381
2020-01-31,12303
2020-02-01,12353
2020-02-02,12061
2020-02-03,12405
2020-02-04,13227
2020-02-05,13530
2020-02-06,13209
2020-02-07,12607
2020-02-08,12699
2020-02-09,11827
2020-02-10,11826
2020-02-11,11922
2020-02-12,11843
2020-02-13,11692
2020-02-14,12016
2020-02-15,12010
2020-02-16,12058
2020-02-17,11743
2020-02-18,11585
2020-02-19,11480
2020-02-20,11356
2020-02-21,10513
2020-02-22,10331
2020-02-23,10396
2020-02-24,10489
2020-02-25,9822
2020-02-26,9971
2020-02-27,10507
2020-02-28,10076
2020-02-29,9935
2020-03-01,9760
2020-03-02,9389
2020-03-03,9060
2020-03-04,8825
2020-03-05,8722
2020-03-06,9246
2020-03-07,9231
2020-03-08,9194
2020-03-09,9332
2020-03-10,9007
2020-03-11,9305
2020-03-12,8496
2020-03-13,8368
2020-03-14,4006
2020-03-15,4393
2020-03-16,925
2020-03-17,933
2020-03-18,898
2020-03-19,915
2020-03-20,945
2020-03-21,947
2020-03-22,942
2020-03-23,932
2020-03-24,942
2020-03-25,948
2020-03-26,985
2020-03-27,992
2020-03-28,999
2020-03-29,999
2020-03-30,1012
2020-03-31,1028
2020-04-01,1024
2020-04-02,1066
2020-04-03,1068
2020-04-04,1083
2020-04-05,1084
2020-04-06,1099
2020-04-07,1036
2020-04-08,1027
2020-04-09,1033
2020-04-10,1034
2020-04-11,1034
2020-04-12,1035
2020-04-13,1035
2020-04-14,1040
2020-04-15,1045
2020-04-16,1053
2020-04-17,1055
2020-04-18,1081
2020-04-19,1138
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,2
2020-05-04,2
2020-05-05,3
2020-05-06,4
2020-05-07,5
2020-05-08,6
2020-05-09,7
2020-05-10,7
2020-05-11,7
2020-05-12,8
2020-05-13,8
2020-05-14,9
2020-05-15,9
2020-05-16,10
2020-05-17,10
2020-05-18,11
2020-05-19,13
2020-05-20,123
2020-05-21,123
2020-05-22,260
2020-05-23,261
2020-05-24,259
2020-05-25,260
2020-05-26,260
2020-05-27,260
2020-05-28,260
2020-05-29,260
2020-05-30,261
2020-05-31,261
2020-06-01,262
2020-06-02,273
2020-06-03,273
2020-06-04,273
2020-06-05,274
2020-06-06,274
2020-06-07,274
2020-06-08,274
2020-06-09,274
2020-06-10,274
2020-06-11,274
2020-06-12,274
2020-06-13,274
2020-06-14,274
2020-06-15,274
2020-06-16,274
2020-06-17,274
2020-06-18,274
2020-06-19,274
2020-06-20,274
2020-06-21,274
2020-06-22,273
2020-06-23,274
2020-06-24,274
2020-06-25,274
2020-06-26,273
2020-06-27,274
2020-06-28,1135
2020-06-29,1136
2020-06-30,1135
2020-07-01,1133
2020-07-02,1161
2020-07-03,1239
2020-07-04,734
2020-07-05,769
2020-07-06,994
2020-07-07,1096
2020-07-08,1095
2020-07-09,1096
2020-07-10,1096
2020-07-11,1096
2020-07-12,1096
2020-07-13,1096
2020-07-14,1096
2020-07-15,1096
2020-07-16,1096
2020-07-17,1096
2020-07-18,1096
2020-07-19,1096
2020-07-20,1096
2020-07-21,1096
2020-07-22,1096
2020-07-23,1096
2020-07-24,1096
2020-07-25,1096
2020-07-26,1096
2020-07-27,1096
2020-07-28,1096
2020-07-29,1096
2020-07-30,1129
2020-07-31,2192
2020-08-01,2192
2020-08-02,2192
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,3305
2020-09-09,2858
2020-09-10,2551
2020-09-11,2949
2020-09-12,3019
2020-09-13,2954
2020-09-14,3018
2020-09-15,3042
2020-09-16,3084
2020-09-17,3018
2020-09-18,4644
2020-09-19,9582
2020-09-20,9576
2020-09-21,9435
2020-09-22,9383
2020-09-23,9313
2020-09-24,8969
2020-09-25,9105
2020-09-26,9128
2020-09-27,9158
2020-09-28,31579
2020-09-29,31530
2020-09-30,31558
2020-10-01,30971
2020-10-02,30669
2020-10-03,30212
2020-10-04,26932
2020-10-05,26957
2020-10-06,27051
2020-10-07,26814
2020-10-08,27034
2020-10-09,26969
2020-10-10,26934
2020-10-11,26856
2020-10-12,26862
2020-10-13,27095
2020-10-14,26908
2020-10-15,26895
2020-10-16,26786
2020-10-17,26811
2020-10-18,26951
2020-10-19,27299
2020-10-20,27587
2020-10-21,28724
2020-10-22,28866
2020-10-23,30416
2020-10-24,30491
2020-10-25,30580
2020-10-26,30755
2020-10-27,30847
2020-10-28,30996
2020-10-29,31178
2020-10-30,30696
2020-10-31,30773
2020-11-01,30899
2020-11-02,30711
2020-11-03,30702
2020-11-04,30646
2020-11-05,30698
2020-11-06,30891
2020-11-07,31148
2020-11-08,31214
2020-11-09,31151
2020-11-10,31391
2020-11-11,32963
2020-11-12,32938
2020-11-13,33116
2020-11-14,33419
2020-11-15,33498
2020-11-16,33706
2020-11-17,33743
2020-11-18,33877
2020-11-19,34099
2020-11-20,34764
2020-11-21,35439
2020-11-22,35784
2020-11-23,36187
2020-11-24,36751
2020-11-25,37058
2020-11-26,35135
2020-11-27,35135
2020-11-28,35235
2020-11-29,36486
2020-11-30,36902
2020-12-01,36894
2020-12-02,37937
2020-12-03,38256
2020-12-04,37913
2020-12-05,37993
2020-12-06,38084
2020-12-07,38210
2020-12-08,38163
2020-12-09,38138
2020-12-10,37241
2020-12-11,35279
2020-12-12,35310
2020-12-13,35353
2020-12-14,35463
2020-12-15,35764
2020-12-16,36807
2020-12-17,37655
2020-12-18,37603
2020-12-19,38136
2020-12-20,37318
2020-12-21,46430
2020-12-22,46597
2020-12-23,47648
2020-12-24,48086
2020-12-25,48172
2020-12-26,48692
2020-12-27,46111
2020-12-28,47306
2020-12-29,47435
2020-12-30,49263
2020-12-31,50233
2021-01-01,50930
2021-01-02,52075
2021-01-03,56215
2021-01-04,58480
2021-01-05,59109
2021-01-06,59492
2021-01-07,63268
2021-01-08,65191
2021-01-09,67466
2021-01-10,68832
2021-01-11,64540
2021-01-12,65670
2021-01-13,66817
2021-01-14,69820
2021-01-15,67522
2021-01-16,73083
2021-01-17,73926
2021-01-18,74870
2021-01-19,75391
2021-01-20,95393
2021-01-21,94486
2021-01-22,98145
2021-01-23,98868
2021-01-24,102415
2021-01-25,106562
2021-01-26,107844
2021-01-27,109509
2021-01-28,110806
2021-01-29,112659
2021-01-30,113652
2021-01-31,114095
2021-02-01,115076
2021-02-02,118811
2021-02-03,122148
2021-02-04,124971
2021-02-05,129702
2021-02-06,131043
2021-02-07,128009
2021-02-08,133760
2021-02-09,138659
2021-02-10,139609
2021-02-11,145305
2021-02-12,147142
2021-02-13,148258
2021-02-14,148349
2021-02-15,189774
2021-02-16,199496
2021-02-17,204270
2021-02-18,207792
2021-02-19,210771
2021-02-20,217025
2021-02-21,219728
2021-02-22,217482
2021-02-23,203524
2021-02-24,205622
2021-02-25,206480
2021-02-26,202414
2021-02-27,202085
2021-02-28,199430
2021-03-01,202989
2021-03-02,206875
2021-03-03,247906
2021-03-04,249257
2021-03-05,245028
2021-03-06,245982
2021-03-07,248855
2021-03-08,250253
2021-03-09,254446
2021-03-10,256319
2021-03-11,261970
2021-03-12,263483
2021-03-13,266030
2021-03-14,266612
2021-03-15,267356
2021-03-16,263969
2021-03-17,268495
2021-03-18,270143
2021-03-19,270018
2021-03-20,267926
2021-03-21,268174
2021-03-22,266661
2021-03-23,262991
2021-03-24,260995
2021-03-25,262889
2021-03-26,263477
2021-03-27,263521
2021-03-28,266293
2021-03-29,268113
2021-03-30,270700
2021-03-31,272231
2021-04-01,278024
2021-04-02,288760
2021-04-03,290516
2021-04-04,291758
2021-04-05,293216
2021-04-06,295665
2021-04-07,293851
2021-04-08,295200
2021-04-09,296744
2021-04-10,308737
2021-04-11,313879
2021-04-12,314637
2021-04-13,319038
2021-04-14,326812
2021-04-15,333358
2021-04-16,351963
2021-04-17,359394
2021-04-18,352398
2021-04-19,353433
2021-04-20,355374
2021-04-21,356367
2021-04-22,356065
2021-04-23,351630
2021-04-24,353216
2021-04-25,353336
2021-04-26,359528
2021-04-27,362360
2021-04-28,363339
2021-04-29,369885
2021-04-30,367753
2021-05-01,369569
2021-05-02,373415
2021-05-03,383156
2021-05-04,394332
2021-05-05,408246
2021-05-06,434880
2021-05-07,445989
2021-05-08,452572
2021-05-09,460812
2021-05-10,469594
2021-05-11,473608
2021-05-12,478597
2021-05-13,472154
2021-05-14,480410
2021-05-15,480396
2021-05-16,486829
2021-05-17,494172
2021-05-18,499519
2021-05-19,440376
2021-05-20,420524
2021-05-21,407309
2021-05-22,401615
2021-05-23,333513
2021-05-24,349903
2021-05-25,348521
2021-05-26,355571
2021-05-27,353437
2021-05-28,348307
2021-05-29,326423
2021-05-30,317109
2021-05-31,315649
2021-06-01,313406
2021-06-02,313568
2021-06-03,312831
