date,volume
2022-08-15,239921466
2022-08-16,275530231
2022-08-17,198162300
2022-08-18,149922072
2022-08-19,283319538
2022-08-20,169106650
2022-08-21,256020234
2022-08-22,211136571
2022-08-23,275666999
2022-08-24,223401100
2022-08-25,251237122
2022-08-26,248728630
2022-08-27,90554196
2022-08-28,147461425
2022-08-29,204368652
2022-08-30,181040677
2022-08-31,186020224
2022-09-01,183851249
2022-09-02,153909027
2022-09-03,275230495
2022-09-04,339336570
2022-09-05,220211009
2022-09-06,274882480
2022-09-07,230573557
2022-09-08,171390533
2022-09-09,221068937
2022-09-10,153963052
2022-09-11,155080979
2022-09-12,243599586
2022-09-13,267046531
2022-09-14,321928439
2022-09-15,329620862
2022-09-16,210796408
2022-09-17,109455930
2022-09-18,160175210
2022-09-19,183608763
2022-09-20,194867441
2022-09-21,208069162
2022-09-22,179896438
2022-09-23,184925579
2022-09-24,162607968
2022-09-25,102360408
2022-09-26,161562623
2022-09-27,211717991
2022-09-28,177875891
2022-09-29,204548024
2022-09-30,185857659
2022-10-01,117404604
2022-10-02,78904983
2022-10-03,278091997
2022-10-04,162607968
2022-10-05,165954975
2022-10-06,221138306
2022-10-07,227405038
2022-10-08,65398244
2022-10-09,71030236
2022-10-10,117745770
2022-10-11,167571724
2022-10-12,122127124
2022-10-13,189801389
2022-10-14,106999543
2022-10-15,52096752
2022-10-16,162607968
2022-10-17,171201453
2022-10-18,135509959
2022-10-19,162607968
2022-10-20,86021267
2022-10-21,162607968
2022-10-22,62162395
2022-10-23,141437867
2022-10-24,119251140
2022-10-25,162525424
2022-10-26,210163050
2022-10-27,179108042
2022-10-28,162525424
2022-10-29,112627387
2022-10-30,155712361
2022-10-31,250304435
2022-11-01,162525424
2022-11-02,195346742
2022-11-03,188465712
2022-11-04,187814875
2022-11-05,116260897
2022-11-06,102550222
2022-11-07,301288928
2022-11-08,834460586
2022-11-09,1540295990
2022-11-10,3518879532
2022-11-11,896711375
2022-11-12,717044942
2022-11-13,444976164
2022-11-14,537390731
2022-11-15,501384206
2022-11-16,357005678
2022-11-17,322503186
2022-11-18,322958906
2022-11-19,245279348
2022-11-20,388975745
2022-11-21,534000253
2022-11-22,695257425
2022-11-23,876543886
2022-11-24,744440823
2022-11-25,391232870
2022-11-26,369441301
2022-11-27,310933113
2022-11-28,409519544
2022-11-29,329605345
2022-11-30,232364258
2022-12-01,241758583
2022-12-02,167649255
2022-12-03,62505801
2022-12-04,74741823
2022-12-05,112045675
2022-12-06,125650264
2022-12-07,167114449
2022-12-08,119325668
2022-12-09,90223614
2022-12-10,42767776
2022-12-11,172495841
2022-12-12,184761380
2022-12-13,282353349
2022-12-14,229819359
2022-12-15,150951995
2022-12-16,135590451
2022-12-17,77953644
2022-12-18,74829921
2022-12-19,170260682
2022-12-20,203651924
2022-12-21,221016216
2022-12-22,152953649
2022-12-23,170031522
2022-12-24,173347148
2022-12-25,196208839
2022-12-26,186713105
2022-12-27,166388042
2022-12-28,423630487
2022-12-29,262662959
2022-12-30,301104355
2022-12-31,221094146
2023-01-01,79717336
2023-01-02,79088842
2023-01-03,211112075
2023-01-04,227330763
2023-01-05,286998926
2023-01-06,275376808
2023-01-07,198536645
2023-01-08,163922643
2023-01-09,293486841
2023-01-10,219028367
2023-01-11,334682849
2023-01-12,389598250
2023-01-13,385567816
2023-01-14,443823189
2023-01-15,359060996
2023-01-16,237274431
2023-01-17,305342267
2023-01-18,467136689
2023-01-19,382472994
2023-01-20,307626363
2023-01-21,382582041
2023-01-22,227372087
2023-01-23,419875845
2023-01-24,429633778
2023-01-25,421075955
2023-01-26,294203543
2023-01-27,346823285
2023-01-28,233175809
2023-01-29,90153012
2023-01-30,173213163
2023-01-31,253902939
2023-02-01,213015103
2023-02-02,204600876
2023-02-03,236495317
2023-02-04,142235389
2023-02-05,220146599
2023-02-06,195310954
2023-02-07,329585681
2023-02-08,246413134
2023-02-09,330626470
2023-02-10,270235226
2023-02-11,155276316
2023-02-12,107338159
2023-02-14,256624768
2023-02-15,187522792
2023-02-16,220700013
2023-02-17,170780127
2023-02-18,122440175
2023-02-19,110733086
2023-02-20,145179523
2023-02-21,156435963
2023-02-22,128091875
2023-02-23,199053314
