Date,Compound - Active loans ($)
2023-02-27,903266183.247251
2023-02-28,905608115.021627
2023-03-01,904598372.506474
2023-03-02,905484585.704761
2023-03-03,904744300.723085
2023-03-04,901406725.129578
2023-03-05,909306873.639741
2023-03-06,914759604.934316
2023-03-07,914472986.056507
2023-03-08,836844827.622974
2023-03-09,831928023.978725
2023-03-10,805874241.352003
2023-03-11,693927483.285424
2023-03-12,651809493.979158
2023-03-13,665058971.32629
2023-03-14,666059514.149616
2023-03-15,654697825.47679
2023-03-16,648263981.270976
2023-03-17,651877416.414279
2023-03-18,665874281.976354
2023-03-19,684548561.735429
2023-03-20,770674273.73434
2023-03-21,802732433.141263
2023-03-22,799480992.687105
2023-03-23,798518239.063161
2023-03-24,807617382.903327
2023-03-25,806957864.799266
2023-03-26,808809150.858589
2023-03-27,828250672.946964
2023-03-28,841739395.890457
2023-03-29,842449266.157349
2023-03-30,838895842.788568
2023-03-31,793913612.539188
2023-04-01,792187990.428628
2023-04-02,791488223.750846
2023-04-03,755380440.256674
2023-04-04,760071926.062916
2023-04-05,750228055.885856
2023-04-06,714181788.802873
2023-04-07,723969611.186009
2023-04-08,730282936.552409
2023-04-09,731870983.53223
2023-04-10,735587165.931292
2023-04-11,733642967.711094
2023-04-12,735657789.182298
2023-04-13,762008353.059041
2023-04-14,779270110.565542
2023-04-15,779887484.631676
2023-04-16,785724651.85842
2023-04-17,799533368.417616
2023-04-18,797711476.293799
2023-04-19,779550089.643935
2023-04-20,786510493.584025
2023-04-21,779451919.128612
2023-04-22,786816229.386962
2023-04-23,785198770.83669
2023-04-24,790584455.748645
2023-04-25,790809006.724779
2023-04-26,799659588.897904
2023-04-27,813519940.660989
2023-04-28,806159822.000626
2023-04-29,810248656.794073
2023-04-30,804350165.629555
2023-05-01,803852691.22514
2023-05-02,799795616.662657
2023-05-03,797712261.071911
2023-05-04,794992485.462782
2023-05-05,796726393.927022
2023-05-06,788682714.749146
2023-05-07,784042000.77305
2023-05-08,778026177.777363
2023-05-09,773296290.865064
2023-05-10,780741112.666818
2023-05-11,798051571.900137
2023-05-12,770383773.24126
2023-05-13,751400873.525479
2023-05-14,753656577.236179
2023-05-15,751414760.764897
2023-05-16,751271955.272494
2023-05-17,745728989.095618
2023-05-18,742291746.983727
2023-05-19,740305201.390971
2023-05-20,738963131.914406
2023-05-21,739144537.102506
2023-05-22,751967855.875181
2023-05-23,751289359.708341
2023-05-24,764837026.164117
2023-05-25,761876636.640144
2023-05-26,764965961.718501
2023-05-27,765512866.244781
2023-05-28,765594514.577174
2023-05-29,761554176.267472
2023-05-30,755066955.229494
2023-05-31,752179080.463907
2023-06-01,751989614.959473
2023-06-02,760759844.247418
2023-06-03,758790161.378964
2023-06-04,761097357.587776
2023-06-05,758769824.065347
2023-06-06,752625059.186112
2023-06-07,780944551.925981
2023-06-08,780538843.034025
2023-06-09,779475272.736839
2023-06-10,773173901.71829
2023-06-11,772431643.818231
2023-06-12,752162736.401825
2023-06-13,748591004.200256
2023-06-14,738816635.752687
2023-06-15,769968850.601863
2023-06-16,794670330.106673
2023-06-17,748863424.615494
2023-06-18,752000233.903772
2023-06-19,723989384.127055
2023-06-20,726825119.535098
2023-06-21,733902492.439192
2023-06-22,726083303.035483
2023-06-23,709446854.368356
2023-06-24,709515497.237109
2023-06-25,714728008.016036
2023-06-26,719938785.081645
2023-06-27,736122331.369998
2023-06-28,739534725.823268
2023-06-29,740125011.301046
2023-06-30,745267766.948765
2023-07-01,756549230.986775
2023-07-02,764158308.986996
2023-07-03,806880684.492892
2023-07-04,894735436.918307
2023-07-05,893369425.890118
2023-07-06,915963999.546027
2023-07-07,918969952.172904
2023-07-08,950978995.08049
2023-07-09,955185936.199344
2023-07-10,970521358.22253
2023-07-11,973247724.349113
2023-07-12,1006331474.216952
2023-07-13,1022017547.520958
2023-07-14,1059169461.16786
2023-07-15,1051468454.569084
2023-07-16,1042315049.300335
2023-07-17,1048073162.322008
2023-07-18,1045792416.686254
2023-07-19,1029125982.647755
2023-07-20,1021190450.495395
2023-07-21,1022855961.950143
2023-07-22,1027719052.342147
2023-07-23,1039533735.95744
2023-07-24,1039515377.253781
2023-07-25,1031700095.094428
2023-07-26,977282641.680532
2023-07-27,978659213.253599
2023-07-28,993287944.897387
2023-07-29,994898422.203346
2023-07-30,1004966657.831465
2023-07-31,1021970697.062033
2023-08-01,1036393941.427049
2023-08-02,1076525912.215981
2023-08-03,1073591380.339999
2023-08-04,1078314041.632905
2023-08-05,1083843560.392949
2023-08-06,1087144809.817469
2023-08-07,1092783898.249912
2023-08-08,1079619746.740098
2023-08-09,1049608584.765856
2023-08-10,1056424056.947414
2023-08-11,1084020586.520085
2023-08-12,1091843504.660505
2023-08-13,1065174902.091286
2023-08-14,1070863749.231152
2023-08-15,1071634052.454208
2023-08-16,1073350462.244701
2023-08-17,1021914161.299669
2023-08-18,918779892.019653
2023-08-19,901210558.945467
2023-08-20,900590620.067642
2023-08-21,904735115.9652
2023-08-22,903482274.881429
2023-08-23,906801658.312332
2023-08-24,900717834.434521
2023-08-25,885651066.776138
2023-08-26,886445386.266057
2023-08-27,887856381.830816
2023-08-28,886343230.900639
2023-08-29,891794199.472039
2023-08-30,893537486.337256
2023-08-31,897662649.406166
2023-09-01,895131988.031148
2023-09-02,895011434.786038
2023-09-03,887982358.452848
2023-09-04,892590224.955256
2023-09-05,901859250.342881
2023-09-06,902142308.928503
2023-09-07,898157581.908751
2023-09-08,896171252.002061
2023-09-09,887924855.490735
2023-09-10,887401674.987484
2023-09-11,894971878.050697
2023-09-12,897549788.089393
2023-09-13,896528376.733434
2023-09-14,890041908.589829
2023-09-15,887491438.879085
2023-09-16,886616734.309187
2023-09-17,897600131.99195
2023-09-18,902864847.869366
2023-09-19,910678535.02343
2023-09-20,897349319.946929
2023-09-21,895598279.358234
2023-09-22,896541526.63201
2023-09-23,887236675.506388
2023-09-24,889663958.732439
2023-09-25,889290367.843242
2023-09-26,888031717.344359
