Timestamp,Date,Ethereum,Plasma,Base,Arbitrum,Mantle,Avalanche,Polygon,BSC,Linea,OP Mainnet,Gnosis,Aptos,Scroll,Sonic,Celo,ZKsync Era,Harmony,Soneium,Metis,MegaETH,Fantom
1589932800000,2020-05-20,12345606,,,,,,,,,,,,,,,,,,,,
1590019200000,2020-05-21,12298508,,,,,,,,,,,,,,,,,,,,
1590105600000,2020-05-22,12404565,,,,,,,,,,,,,,,,,,,,
1590192000000,2020-05-23,12502397,,,,,,,,,,,,,,,,,,,,
1590278400000,2020-05-24,12845598,,,,,,,,,,,,,,,,,,,,
1590364800000,2020-05-25,12958645,,,,,,,,,,,,,,,,,,,,
1590451200000,2020-05-26,13066997,,,,,,,,,,,,,,,,,,,,
1590537600000,2020-05-27,13154443,,,,,,,,,,,,,,,,,,,,
1590624000000,2020-05-28,13346137,,,,,,,,,,,,,,,,,,,,
1590710400000,2020-05-29,13399804,,,,,,,,,,,,,,,,,,,,
1590796800000,2020-05-30,13726760,,,,,,,,,,,,,,,,,,,,
1590883200000,2020-05-31,14277012,,,,,,,,,,,,,,,,,,,,
1590969600000,2020-06-01,14448760,,,,,,,,,,,,,,,,,,,,
1591056000000,2020-06-02,14495392,,,,,,,,,,,,,,,,,,,,
1591142400000,2020-06-03,14995814,,,,,,,,,,,,,,,,,,,,
1591228800000,2020-06-04,15051605,,,,,,,,,,,,,,,,,,,,
1591315200000,2020-06-05,15149364,,,,,,,,,,,,,,,,,,,,
1591401600000,2020-06-06,15235173,,,,,,,,,,,,,,,,,,,,
1591488000000,2020-06-07,15357921,,,,,,,,,,,,,,,,,,,,
1591574400000,2020-06-08,15456444,,,,,,,,,,,,,,,,,,,,
1591660800000,2020-06-09,15596599,,,,,,,,,,,,,,,,,,,,
1591747200000,2020-06-10,15844505,,,,,,,,,,,,,,,,,,,,
1591833600000,2020-06-11,16248049,,,,,,,,,,,,,,,,,,,,
1591920000000,2020-06-12,16562496,,,,,,,,,,,,,,,,,,,,
1592006400000,2020-06-13,17031496,,,,,,,,,,,,,,,,,,,,
1592092800000,2020-06-14,17286591,,,,,,,,,,,,,,,,,,,,
1592179200000,2020-06-15,16773277,,,,,,,,,,,,,,,,,,,,
1592265600000,2020-06-16,16824846,,,,,,,,,,,,,,,,,,,,
1592352000000,2020-06-17,17407971,,,,,,,,,,,,,,,,,,,,
1592438400000,2020-06-18,17732509,,,,,,,,,,,,,,,,,,,,
1592524800000,2020-06-19,18585692,,,,,,,,,,,,,,,,,,,,
1592611200000,2020-06-20,20010776,,,,,,,,,,,,,,,,,,,,
1592697600000,2020-06-21,22685962,,,,,,,,,,,,,,,,,,,,
1592784000000,2020-06-22,26390581,,,,,,,,,,,,,,,,,,,,
1592870400000,2020-06-23,24881716,,,,,,,,,,,,,,,,,,,,
1592956800000,2020-06-24,20920317,,,,,,,,,,,,,,,,,,,,
1593043200000,2020-06-25,21334319,,,,,,,,,,,,,,,,,,,,
1593129600000,2020-06-26,21392747,,,,,,,,,,,,,,,,,,,,
1593216000000,2020-06-27,21005139,,,,,,,,,,,,,,,,,,,,
1593302400000,2020-06-28,20965444,,,,,,,,,,,,,,,,,,,,
1593388800000,2020-06-29,20708881,,,,,,,,,,,,,,,,,,,,
1593475200000,2020-06-30,21092511,,,,,,,,,,,,,,,,,,,,
1593561600000,2020-07-01,21085001,,,,,,,,,,,,,,,,,,,,
1593648000000,2020-07-02,21218120,,,,,,,,,,,,,,,,,,,,
1593734400000,2020-07-03,21616695,,,,,,,,,,,,,,,,,,,,
1593820800000,2020-07-04,22099556,,,,,,,,,,,,,,,,,,,,
1593907200000,2020-07-05,23822884,,,,,,,,,,,,,,,,,,,,
1593993600000,2020-07-06,24415502,,,,,,,,,,,,,,,,,,,,
1594080000000,2020-07-07,24927130,,,,,,,,,,,,,,,,,,,,
1594166400000,2020-07-08,26359407,,,,,,,,,,,,,,,,,,,,
1594252800000,2020-07-09,27464976,,,,,,,,,,,,,,,,,,,,
1594339200000,2020-07-10,27431904,,,,,,,,,,,,,,,,,,,,
1594425600000,2020-07-11,27846905,,,,,,,,,,,,,,,,,,,,
1594512000000,2020-07-12,28801433,,,,,,,,,,,,,,,,,,,,
1594598400000,2020-07-13,29674201,,,,,,,,,,,,,,,,,,,,
1594684800000,2020-07-14,30410038,,,,,,,,,,,,,,,,,,,,
1594771200000,2020-07-15,33222128,,,,,,,,,,,,,,,,,,,,
1594857600000,2020-07-16,34132918,,,,,,,,,,,,,,,,,,,,
1594944000000,2020-07-17,34363271,,,,,,,,,,,,,,,,,,,,
1595030400000,2020-07-18,36646568,,,,,,,,,,,,,,,,,,,,
1595116800000,2020-07-19,41152707,,,,,,,,,,,,,,,,,,,,
1595203200000,2020-07-20,47610870,,,,,,,,,,,,,,,,,,,,
1595289600000,2020-07-21,56791539,,,,,,,,,,,,,,,,,,,,
1595376000000,2020-07-22,71778085,,,,,,,,,,,,,,,,,,,,
1595462400000,2020-07-23,77384734,,,,,,,,,,,,,,,,,,,,
1595548800000,2020-07-24,93209187,,,,,,,,,,,,,,,,,,,,
1595635200000,2020-07-25,95986245,,,,,,,,,,,,,,,,,,,,
1595721600000,2020-07-26,106835953,,,,,,,,,,,,,,,,,,,,
1595808000000,2020-07-27,91093903,,,,,,,,,,,,,,,,,,,,
1595894400000,2020-07-28,83144996,,,,,,,,,,,,,,,,,,,,
1595980800000,2020-07-29,84171663,,,,,,,,,,,,,,,,,,,,
1596067200000,2020-07-30,85994482,,,,,,,,,,,,,,,,,,,,
1596153600000,2020-07-31,94311979,,,,,,,,,,,,,,,,,,,,
1596240000000,2020-08-01,97585088,,,,,,,,,,,,,,,,,,,,
1596326400000,2020-08-02,97535414,,,,,,,,,,,,,,,,,,,,
1596412800000,2020-08-03,100293939,,,,,,,,,,,,,,,,,,,,
1596499200000,2020-08-04,101898740,,,,,,,,,,,,,,,,,,,,
1596585600000,2020-08-05,108585783,,,,,,,,,,,,,,,,,,,,
1596672000000,2020-08-06,108726923,,,,,,,,,,,,,,,,,,,,
1596758400000,2020-08-07,110889754,,,,,,,,,,,,,,,,,,,,
1596844800000,2020-08-08,127033815,,,,,,,,,,,,,,,,,,,,
1596931200000,2020-08-09,104300928,,,,,,,,,,,,,,,,,,,,
1597017600000,2020-08-10,103253354,,,,,,,,,,,,,,,,,,,,
1597104000000,2020-08-11,100234756,,,,,,,,,,,,,,,,,,,,
1597190400000,2020-08-12,115069733,,,,,,,,,,,,,,,,,,,,
1597276800000,2020-08-13,122805605,,,,,,,,,,,,,,,,,,,,
1597363200000,2020-08-14,91775273,,,,,,,,,,,,,,,,,,,,
1597449600000,2020-08-15,129438167,,,,,,,,,,,,,,,,,,,,
1597536000000,2020-08-16,133677629,,,,,,,,,,,,,,,,,,,,
1597622400000,2020-08-17,125205887,,,,,,,,,,,,,,,,,,,,
1597708800000,2020-08-18,154543476,,,,,,,,,,,,,,,,,,,,
1597795200000,2020-08-19,145108879,,,,,,,,,,,,,,,,,,,,
1597881600000,2020-08-20,154673330,,,,,,,,,,,,,,,,,,,,
1597968000000,2020-08-21,164261409,,,,,,,,,,,,,,,,,,,,
1598054400000,2020-08-22,166922126,,,,,,,,,,,,,,,,,,,,
1598140800000,2020-08-23,163052001,,,,,,,,,,,,,,,,,,,,
1598227200000,2020-08-24,165006052,,,,,,,,,,,,,,,,,,,,
1598313600000,2020-08-25,176712284,,,,,,,,,,,,,,,,,,,,
1598400000000,2020-08-26,176423884,,,,,,,,,,,,,,,,,,,,
1598486400000,2020-08-27,180673627,,,,,,,,,,,,,,,,,,,,
1598572800000,2020-08-28,169545331,,,,,,,,,,,,,,,,,,,,
1598659200000,2020-08-29,213276489,,,,,,,,,,,,,,,,,,,,
1598745600000,2020-08-30,223307586,,,,,,,,,,,,,,,,,,,,
1598832000000,2020-08-31,251398460,,,,,,,,,,,,,,,,,,,,
1598918400000,2020-09-01,284295108,,,,,,,,,,,,,,,,,,,,
1599004800000,2020-09-02,294401924,,,,,,,,,,,,,,,,,,,,
1599091200000,2020-09-03,292357108,,,,,,,,,,,,,,,,,,,,
1599177600000,2020-09-04,275625505,,,,,,,,,,,,,,,,,,,,
1599264000000,2020-09-05,275931498,,,,,,,,,,,,,,,,,,,,
1599350400000,2020-09-06,253779722,,,,,,,,,,,,,,,,,,,,
1599436800000,2020-09-07,293541283,,,,,,,,,,,,,,,,,,,,
1599523200000,2020-09-08,303548997,,,,,,,,,,,,,,,,,,,,
1599609600000,2020-09-09,281987747,,,,,,,,,,,,,,,,,,,,
1599696000000,2020-09-10,307076933,,,,,,,,,,,,,,,,,,,,
1599782400000,2020-09-11,329655882,,,,,,,,,,,,,,,,,,,,
