Date,Lido Finance - Assets staked ($)
2023-02-27,9214178540.534996
2023-02-28,9197177214.858967
2023-03-01,9561466763.07964
2023-03-02,9492718626.007694
2023-03-03,9054004717.233587
2023-03-04,9037721516.25518
2023-03-05,9038104016.448896
2023-03-06,9058799007.733965
2023-03-07,9053810337.952415
2023-03-08,8883448359.495584
2023-03-09,8389146720.541611
2023-03-10,8355117012.153769
2023-03-11,8662071044.088404
2023-03-12,9305678451.552835
2023-03-13,9814500789.637589
2023-03-14,9971866725.791561
2023-03-15,9694429098.732115
2023-03-16,9826837620.839691
2023-03-17,10512811555.39388
2023-03-18,10340489750.501518
2023-03-19,10492805875.667255
2023-03-20,10212906671.58603
2023-03-21,10640823005.585129
2023-03-22,10245123489.423548
2023-03-23,10726271542.960447
2023-03-24,10339016510.503984
2023-03-25,10309799967.934368
2023-03-26,10509228014.210054
2023-03-27,10160711161.665316
2023-03-28,10514095523.534489
2023-03-29,10633058434.114504
2023-03-30,10647091567.812122
2023-03-31,10828066597.680313
2023-04-01,10833485938.557806
2023-04-02,10683078760.399282
2023-04-03,10781393046.547638
2023-04-04,11148460147.679785
2023-04-05,11393987215.79147
2023-04-06,11168399234.518166
2023-04-07,11140310582.126892
2023-04-08,11056742403.503933
2023-04-09,11128883251.274174
2023-04-10,11408785068.584318
2023-04-11,11321163028.22969
2023-04-12,11493879138.071146
2023-04-13,12031052942.209524
2023-04-14,12607080084.26295
2023-04-15,12602033584.69819
2023-04-16,12783516583.230247
2023-04-17,12577299116.42616
2023-04-18,12812304794.585451
2023-04-19,11780407118.203281
2023-04-20,11903225746.377106
2023-04-21,11355003836.775887
2023-04-22,11555890592.76888
2023-04-23,11486753267.279957
2023-04-24,11394489265.22632
2023-04-25,11585658771.65952
2023-04-26,11598563652.059504
2023-04-27,11877136630.207848
2023-04-28,11829144982.458387
2023-04-29,11931254843.293629
2023-04-30,11729178758.491055
2023-05-01,11497644559.400707
2023-05-02,11753576952.92805
2023-05-03,12020789771.044844
2023-05-04,11883981347.683342
2023-05-05,12675235582.33474
2023-05-06,12093219988.29245
2023-05-07,11966339511.86117
2023-05-08,11907789384.26434
2023-05-09,11933296530.523697
2023-05-10,11957118532.35261
2023-05-11,11719109854.437424
2023-05-12,11998082118.573648
2023-05-13,12000935410.253035
2023-05-14,12047205199.973278
2023-05-15,12257534749.712097
2023-05-16,12347058984.464615
2023-05-17,11600490462.44853
2023-05-18,11551281242.305294
2023-05-19,11704298925.255983
2023-05-20,11793010770.782837
2023-05-21,11787132242.577879
2023-05-22,11946993485.396313
2023-05-23,12430502241.091593
2023-05-24,12121707837.17617
2023-05-25,12181380030.361788
2023-05-26,12411211053.986013
2023-05-27,12528638385.039915
2023-05-28,13133359581.358562
2023-05-29,13045657807.586302
2023-05-30,13195838087.236917
2023-05-31,13106676270.004713
2023-06-01,13070538581.19839
2023-06-02,13510977966.90291
2023-06-03,13465907917.042698
2023-06-04,13450113749.282322
2023-06-05,12902444907.866562
2023-06-06,13435845558.115248
2023-06-07,13164067472.930143
2023-06-08,13320436729.730654
2023-06-09,13258214222.224756
2023-06-10,12643377996.268793
2023-06-11,12644655853.220034
2023-06-12,12583892898.125706
2023-06-13,12558779913.78597
2023-06-14,11952396884.167328
2023-06-15,12078211446.079147
2023-06-16,12482742450.754538
2023-06-17,12581796623.490225
2023-06-18,12545424662.426273
2023-06-19,12724041251.358044
2023-06-20,13163002249.679523
2023-06-21,13951883965.031673
2023-06-22,13802111338.789557
2023-06-23,14046166473.017406
2023-06-24,13938986253.402147
2023-06-25,14143279447.271341
2023-06-26,13842677557.296246
2023-06-27,14121087746.622099
2023-06-28,13697317757.205624
2023-06-29,13903318831.503872
2023-06-30,14519603011.687275
2023-07-01,14548102829.614748
2023-07-02,14679434447.768532
2023-07-03,14819743292.01184
2023-07-04,14722149056.250221
2023-07-05,14523584835.15909
2023-07-06,14119003816.084665
2023-07-07,14281014935.229094
2023-07-08,14262075398.973785
2023-07-09,14256881920.883118
2023-07-10,14395086630.57809
2023-07-11,14422787549.412788
2023-07-12,14376450752.505974
2023-07-13,15487484825.375374
2023-07-14,15051471727.018019
2023-07-15,15026996054.882595
2023-07-16,14976900783.815449
2023-07-17,14917031668.962025
2023-07-18,14790900816.979076
2023-07-19,14746982395.46244
2023-07-20,14798445945.153406
2023-07-21,14810072681.238375
2023-07-22,14604683470.618578
2023-07-23,14788651583.229408
2023-07-24,14545501486.361912
2023-07-25,14643781278.746277
2023-07-26,14761592713.157017
2023-07-27,14721630773.397673
2023-07-28,14899571897.51501
2023-07-29,14973323048.03289
2023-07-30,14840459479.229313
2023-07-31,14797672125.508423
2023-08-01,14936771794.32905
2023-08-02,14730049078.351288
2023-08-03,14700439991.700493
2023-08-04,14620338446.68258
2023-08-05,14746807292.902504
2023-08-06,14677609887.647575
2023-08-07,14675126524.729313
2023-08-08,14920892304.497196
2023-08-09,14955164199.775326
2023-08-10,14944476047.881422
2023-08-11,14974306144.651728
2023-08-12,15039027605.877428
2023-08-13,14954120805.943064
2023-08-14,15032596284.780313
2023-08-15,14939599966.554865
2023-08-16,14777145073.397787
2023-08-17,13806392462.15508
2023-08-18,13638479334.744404
2023-08-19,13751302921.247564
2023-08-20,13890501216.420973
2023-08-21,13845681876.786917
2023-08-22,13629494492.156393
2023-08-23,14059100906.41143
2023-08-24,13930049016.661694
2023-08-25,13867221136.950058
2023-08-26,13879191537.798885
2023-08-27,13981596362.135963
2023-08-28,13946209849.26616
2023-08-29,14742466778.911081
2023-08-30,14595887223.784008
2023-08-31,14105092509.69747
2023-09-01,13966648446.287104
2023-09-02,14046480772.766647
2023-09-03,14031456224.19797
2023-09-04,14019701316.254282
2023-09-05,14066175362.27995
2023-09-06,14066183094.468155
2023-09-07,14218949494.400469
2023-09-08,14141624399.743204
2023-09-09,14134712245.497358
2023-09-10,13979866931.424377
2023-09-11,13408104174.029968
2023-09-12,13809794285.568094
2023-09-13,13935923667.08973
2023-09-14,14114957673.997078
2023-09-15,14272613169.103996
2023-09-16,14212703683.16527
2023-09-17,14088779014.305082
2023-09-18,14275492914.28493
2023-09-19,14333831928.985012
2023-09-20,14194197253.955841
2023-09-21,13863036446.840935
2023-09-22,13936813596.118858
2023-09-23,13960660014.376642
2023-09-24,13854886670.780075
2023-09-25,13947090389.062046
2023-09-26,13966812864.035585
2023-09-27,14033808085.20971
2023-09-28,14518350793.41656
2023-09-29,14672484431.814215
2023-09-30,14784696596.663958
2023-10-01,15264690401.99693
2023-10-02,14677872370.267042
2023-10-03,14656974477.046766
2023-10-04,14596088070.594904
2023-10-05,14292081449.248526
2023-10-06,14582502813.175797
2023-10-07,14485226018.111528
2023-10-08,14470335061.263151
2023-10-09,14013837744.500706
2023-10-10,13885242918.739344
2023-10-11,13861070664.338385
2023-10-12,13631884016.559578
2023-10-13,13760625755.940535
2023-10-14,13790855474.141632
2023-10-15,13804597098.606363
2023-10-16,14205656470.23918
2023-10-17,13887166786.290966
2023-10-18,13873151030.379456
2023-10-19,13919616867.011547
2023-10-20,14256306143.847162
2023-10-21,14469963549.615656
2023-10-22,14749194978.46028
2023-10-23,15632712725.240355
2023-10-24,15726383161.606283
2023-10-25,15740370558.442802
2023-10-26,15931453131.602936
2023-10-27,15730533940.2397
2023-10-28,15699036542.07482
2023-10-29,15890164603.737345
2023-10-30,16020554456.579954
2023-10-31,16078583220.085606
2023-11-01,16365154326.907389
2023-11-02,15978946586.184315
2023-11-03,16232280853.000465
2023-11-04,16545834113.546963
2023-11-05,16957415127.696259
2023-11-06,17036157075.893673
2023-11-07,16965634594.69438
2023-11-08,17037135151.447248
2023-11-09,19095370274.816063
2023-11-10,18762743128.972076
2023-11-11,18489418537.099995
2023-11-12,18417420183.63597
2023-11-13,18550787875.900887
2023-11-14,17878348276.254364
2023-11-15,18522868742.771755
2023-11-16,17623841556.082767
2023-11-17,17662861093.401203
2023-11-18,17693059745.87233
2023-11-19,18159365623.93126
2023-11-20,18335653194.860344
2023-11-21,17599962249.452023
2023-11-22,18928543716.629
2023-11-23,19001209375.20933
2023-11-24,19185991078.466145
2023-11-25,19110299564.462093
2023-11-26,19122688850.505325
2023-11-27,18766222230.570515
2023-11-28,18999222291.098274
2023-11-29,18853493010.94569
2023-11-30,19114085191.654
2023-12-01,19476747058.774193
2023-12-02,20179294157.507393
2023-12-03,20493273989.862957
2023-12-04,20906688968.535294
2023-12-05,21351500467.198288
2023-12-06,20763813807.825123
2023-12-07,21830530054.306335
2023-12-08,21883993211.2496
2023-12-09,21675059996.97682
2023-12-10,21823392877.105644
2023-12-11,20591879479.12027
2023-12-12,20407633467.480618
2023-12-13,20999098371.230724
2023-12-14,21484830192.269955
2023-12-15,20578184281.24639
2023-12-16,20593036946.441853
2023-12-17,20271805154.014076
2023-12-18,20376168388.951893
2023-12-19,20022239112.42091
2023-12-20,20192448589.66983
2023-12-21,20593843122.961594
2023-12-22,21393330603.819836
2023-12-23,21243413305.1299
