Date,Sky - Outstanding supply ($)
2024-09-23,5464777220.434305
2024-09-24,5454987380.240563
2024-09-25,5498441181.747581
2024-09-26,5654410213.551167
2024-09-27,5660689928.740465
2024-09-28,5696121885.202765
2024-09-29,5695494391.696386
2024-09-30,5467835863.680931
2024-10-01,5662127769.981543
2024-10-02,5640195112.809632
2024-10-03,5606751991.682657
2024-10-04,5742830561.313685
2024-10-05,5755175897.691607
2024-10-06,5824228104.427679
2024-10-07,5783809789.497769
2024-10-08,5730650601.020067
2024-10-09,5579176406.661705
2024-10-10,5810825884.572956
2024-10-11,5897763671.530316
2024-10-12,5875067793.765541
2024-10-13,5862729722.462486
2024-10-14,6013991514.232344
2024-10-15,5858913544.180714
2024-10-16,5924576875.783459
2024-10-17,5853076790.631742
2024-10-18,5866953636.836901
2024-10-19,5854619660.065931
2024-10-20,5923641491.122978
2024-10-21,5797995666.065502
2024-10-22,5857900248.311374
2024-10-23,5757276323.768038
2024-10-24,5721788326.766194
2024-10-25,5606291498.88232
2024-10-26,5527893383.796569
2024-10-27,5579333859.978881
2024-10-28,5726317912.270908
2024-10-29,5561832460.769501
2024-10-30,5597655133.874087
2024-10-31,5458112995.991359
2024-11-01,5623989789.063128
2024-11-02,5639639047.969799
2024-11-03,5673195212.099138
2024-11-04,5584818474.406725
2024-11-05,5543492888.969205
2024-11-06,5566116230.733343
2024-11-07,5530814923.887083
2024-11-08,5502685876.754692
2024-11-09,5572169458.16823
2024-11-10,5612550253.570564
2024-11-11,5318837223.283295
2024-11-12,5096439335.508214
2024-11-13,5185130563.862473
2024-11-14,5177114366.447647
2024-11-15,5179326961.52106
2024-11-16,5280903212.026447
2024-11-17,5207313866.56198
2024-11-18,5059571111.042734
2024-11-19,5201919927.127054
2024-11-20,5206219911.554688
2024-11-21,5189403359.904985
2024-11-22,5077625505.175607
2024-11-23,5244620769.028134
2024-11-24,5218512328.515506
2024-11-25,5120032324.802463
2024-11-26,5033194584.235115
2024-11-27,5189803371.27149
2024-11-28,5211008490.823471
2024-11-29,5151189592.73056
2024-11-30,5276445154.727036
2024-12-01,5250276703.6453
2024-12-02,5277412376.08378
2024-12-03,5315577926.703957
2024-12-04,5311954460.34704
2024-12-05,5137984448.941163
2024-12-06,5173424307.150701
2024-12-07,5178956707.87049
2024-12-08,5158805379.782209
2024-12-09,5031520526.942793
2024-12-10,5020883352.696995
2024-12-11,5040905803.043839
2024-12-12,5085123367.346521
2024-12-13,5084078942.661578
2024-12-14,5149280008.060107
