Date,Aave - Circulating market cap ($)
2023-04-08,1096901781.734212
2023-04-09,1097472352.844615
2023-04-10,1126362164.613642
2023-04-11,1134900938.642431
2023-04-12,1135804719.270874
2023-04-13,1166043886.674862
2023-04-14,1186689169.588928
2023-04-15,1189585042.841094
2023-04-16,1192213229.21754
2023-04-17,1163524095.673056
2023-04-18,1176276774.030239
2023-04-19,1059915322.595012
2023-04-20,1038531765.836978
2023-04-21,991262639.222443
2023-04-22,1018555643.439347
2023-04-23,1007908451.279446
2023-04-24,1002965635.654757
2023-04-25,1023982065.020063
2023-04-26,996052806.687587
2023-04-27,1025960791.50068
2023-04-28,1037147339.932801
2023-04-29,1031694241.668383
2023-04-30,1017790595.368294
2023-05-01,990848849.117998
2023-05-02,995069133.8963
2023-05-03,1030907838.762452
2023-05-04,1019109603.379653
2023-05-05,1057368777.28436
2023-05-06,1003494612.465275
2023-05-07,992064772.515908
2023-05-08,929229752.906282
2023-05-09,926582173.345653
2023-05-10,931608819.921134
2023-05-11,897628916.228844
2023-05-12,910134160.373029
2023-05-13,897339060.042876
2023-05-14,894842016.502577
2023-05-15,906511206.190707
2023-05-16,904779427.059536
2023-05-17,932132049.758012
2023-05-18,938909459.521254
2023-05-19,942044002.985562
2023-05-20,938111087.884743
2023-05-21,921179142.35179
2023-05-22,926230683.326384
2023-05-23,941989033.929176
2023-05-24,922944488.621005
2023-05-25,913218280.602346
2023-05-26,930952938.572964
2023-05-27,943964972.695314
2023-05-28,996065361.921642
2023-05-29,969792987.564234
2023-05-30,961104860.210221
2023-05-31,920943826.057988
2023-06-01,904359762.548041
2023-06-02,917988553.08043
2023-06-03,915951815.059824
2023-06-04,906675363.024996
2023-06-05,866617300.904076
2023-06-06,892390032.679515
2023-06-07,852316249.726108
2023-06-08,863495516.027865
2023-06-09,863880662.82201
2023-06-10,760358574.473903
2023-06-11,750806229.4188
2023-06-12,775180211.41808
2023-06-13,793555829.681323
2023-06-14,749488710.9266
2023-06-15,722550283.827091
2023-06-16,731226875.010598
2023-06-17,737267093.492107
2023-06-18,734590824.645171
2023-06-19,747073332.373712
2023-06-20,765364574.576216
2023-06-21,795805987.820486
2023-06-22,801766145.818896
2023-06-23,821648008.016553
2023-06-24,823190668.844837
2023-06-25,993049972.911828
2023-06-26,916611901.06868
2023-06-27,936901415.437903
2023-06-28,858755428.860992
2023-06-29,914632233.465512
2023-06-30,1017755922.895027
2023-07-01,983690552.981664
2023-07-02,1013188703.624049
2023-07-03,1052762911.646891
2023-07-04,1117690761.170819
2023-07-05,1083132195.029138
2023-07-06,1025605826.471085
2023-07-07,1078841835.028473
2023-07-08,1064036045.765873
2023-07-09,1037952513.387158
2023-07-10,1001280625.730489
2023-07-11,1062195962.996
2023-07-12,1105915933.389493
2023-07-13,1142087334.342183
2023-07-14,1179478004.032303
2023-07-15,1144077944.897447
2023-07-16,1108695274.042753
2023-07-17,1088597637.150376
2023-07-18,1042029613.747726
2023-07-19,1039414599.019767
2023-07-20,1049451062.722871
2023-07-21,1077873732.896215
2023-07-22,1034676813.932757
2023-07-23,1048147602.330202
2023-07-24,1018189127.185504
2023-07-25,1015204198.405628
2023-07-26,1043133794.270811
2023-07-27,1048097185.761574
2023-07-28,1054758994.692483
2023-07-29,1079198446.454563
2023-07-30,1027014041.102647
2023-07-31,947539910.990304
2023-08-01,947713169.741676
2023-08-02,936980168.807995
2023-08-03,915925352.376145
2023-08-04,929295577.929176
2023-08-05,932665387.181671
2023-08-06,953543187.603855
2023-08-07,941687999.729286
2023-08-08,962919527.177902
2023-08-09,977968339.782908
2023-08-10,971959670.584584
2023-08-11,956552058.915202
2023-08-12,958645426.112394
2023-08-13,952357660.009724
2023-08-14,950369675.70302
2023-08-15,922529321.147613
2023-08-16,876213024.330379
2023-08-17,805638008.845088
2023-08-18,809563370.566131
2023-08-19,820884774.645311
2023-08-20,828304030.715117
2023-08-21,808478478.174372
2023-08-22,796216944.613092
2023-08-23,829067683.216697
2023-08-24,831325006.976131
2023-08-25,825814207.779449
2023-08-26,821102889.968861
2023-08-27,844816006.77148
2023-08-28,846482433.135742
2023-08-29,861461147.12659
2023-08-30,839019167.550411
2023-08-31,806175780.869437
2023-09-01,793183834.783433
2023-09-02,800094794.162169
2023-09-03,796642547.688527
2023-09-04,792940019.048146
2023-09-05,804643247.226775
2023-09-06,800463641.055407
2023-09-07,815070801.640818
2023-09-08,819886650.042921
2023-09-09,816156523.235471
2023-09-10,785462845.070434
2023-09-11,756146017.992574
2023-09-12,771361047.109167
2023-09-13,780104123.870316
2023-09-14,789070076.966955
2023-09-15,812127413.838521
2023-09-16,858131390.376126
2023-09-17,858154765.672616
2023-09-18,880480063.104542
2023-09-19,898791785.243778
2023-09-20,953473604.024605
2023-09-21,907767542.975924
2023-09-22,937329307.800116
2023-09-23,913603730.4692
2023-09-24,897612046.98054
2023-09-25,904009121.814948
2023-09-26,887846260.933288
2023-09-27,882031854.814062
2023-09-28,956822299.005755
2023-09-29,962902839.749822
2023-09-30,984291197.076295
2023-10-01,1053197253.887328
2023-10-02,1008352443.900722
2023-10-03,951892415.79539
2023-10-04,971626067.404102
2023-10-05,972501882.564128
2023-10-06,1006692553.813966
2023-10-07,973304998.621648
2023-10-08,962197302.619533
2023-10-09,924318364.553169
2023-10-10,935640033.782851
2023-10-11,920974153.179056
2023-10-12,916978009.900136
2023-10-13,927915850.674272
2023-10-14,939145512.31728
2023-10-15,932128872.422618
2023-10-16,946133585.787898
2023-10-17,913569535.595481
2023-10-18,906052973.769143
2023-10-19,932273420.507733
2023-10-20,961548473.097924
2023-10-21,1016187518.297964
2023-10-22,1118380293.425224
2023-10-23,1242104541.349932
2023-10-24,1215945994.43176
2023-10-25,1248382413.142685
2023-10-26,1179834976.050258
2023-10-27,1144214475.237372
2023-10-28,1168389936.916194
2023-10-29,1235582544.911184
2023-10-30,1221941655.173926
2023-10-31,1186626849.229266
2023-11-01,1299911970.610796
2023-11-02,1343314409.930836
2023-11-03,1314712479.216525
2023-11-04,1320463196.920765
2023-11-05,1303848221.660556
2023-11-06,1453217494.729282
2023-11-07,1426134110.541408
2023-11-08,1457798009.096252
2023-11-09,1467446800.182096
2023-11-10,1465326597.881168
2023-11-11,1410581178.250569
2023-11-12,1438055583.81972
2023-11-13,1366421299.262645
2023-11-14,1329085399.847389
2023-11-15,1393251941.17812
2023-11-16,1328972843.235448
2023-11-17,1295215401.169531
2023-11-18,1288682775.297492
2023-11-19,1341204321.738609
2023-11-20,1319232242.990888
2023-11-21,1246118355.705881
2023-11-22,1395411389.399221
2023-11-23,1403243527.55997
2023-11-24,1446985575.837146
2023-11-25,1455310281.89059
2023-11-26,1435284007.829662
2023-11-27,1406116000.653216
2023-11-28,1418776648.532808
2023-11-29,1413201343.770962
2023-11-30,1439306755.120016
2023-12-01,1467520433.107595
2023-12-02,1535192183.98905
2023-12-03,1508533115.775686
2023-12-04,1464513996.913392
2023-12-05,1447336252.449924
2023-12-06,1413271431.422788
2023-12-07,1447406807.529518
2023-12-08,1453784988.967176
2023-12-09,1444480865.87791
2023-12-10,1432507120.971636
2023-12-11,1342096101.177455
2023-12-12,1359834820.746298
2023-12-13,1386203048.844657
2023-12-14,1569233666.833495
2023-12-15,1596202635.830616
2023-12-16,1530163919.264792
2023-12-17,1471051808.773013
2023-12-18,1450696563.328306
2023-12-19,1480310095.557773
2023-12-20,1466542015.065964
2023-12-21,1486294794.529485
2023-12-22,1469450851.06016
2023-12-23,1458946952.164324
2023-12-24,1470434648.526829
2023-12-25,1512384864.773069
2023-12-26,1505839741.101482
2023-12-27,1649490691.672422
2023-12-28,1755017680.698553
2023-12-29,1650471664.176309
2023-12-30,1639034262.053495
2023-12-31,1604349909.679542
2024-01-01,1696919278.981094
2024-01-02,1619377707.025004
2024-01-03,1503951477.009508
2024-01-04,1531358122.648835
2024-01-05,1507553369.261719
2024-01-06,1460575964.01197
2024-01-07,1387880600.209875
2024-01-08,1455643226.11418
2024-01-09,1416813478.823554
2024-01-10,1581920676.316412
2024-01-11,1615908985.034028
2024-01-12,1511492603.650746
2024-01-13,1557814086.54518
2024-01-14,1467906779.255951
2024-01-15,1498618780.8091
2024-01-16,1521532289.832502
2024-01-17,1487102088.979853
2024-01-18,1423679082.138772
2024-01-19,1422509081.060185
2024-01-20,1429918397.975243
2024-01-21,1422539227.279847
2024-01-22,1346220554.737625
2024-01-23,1311789974.093594
2024-01-24,1322497346.875686
2024-01-25,1306742362.363488
2024-01-26,1343804468.940499
2024-01-27,1346178785.801872
2024-01-28,1340885106.989107
2024-01-29,1379543684.977551
2024-01-30,1363261007.065707
2024-01-31,1266611498.78993
2024-02-01,1230842371.44623
2024-02-02,1263850374.714054
2024-02-03,1259181751.676153
2024-02-04,1226911069.546394
2024-02-05,1235508929.399346
2024-02-06,1246298399.83562
2024-02-07,1236926449.132357
2024-02-08,1257368135.629135
2024-02-09,1290631987.751875
2024-02-10,1301140086.351424
2024-02-11,1281966255.984436
2024-02-12,1336448412.664008
2024-02-13,1318672510.59413
2024-02-14,1342756289.472756
2024-02-15,1363201030.021155
2024-02-16,1393960397.197316
2024-02-17,1384142504.815961
2024-02-18,1394929600.304314
2024-02-19,1428819824.934178
2024-02-20,1388724545.758719
2024-02-21,1356662422.597691
2024-02-22,1355110013.56131
2024-02-23,1400850072.231652
2024-02-24,1493343097.968883
2024-02-25,1480395070.315325
2024-02-26,1515477408.758501
2024-02-27,1543292776.699929
2024-02-28,1540665477.714522
2024-02-29,1560266260.782745
2024-03-01,1623953979.190838
2024-03-02,1717075578.982531
2024-03-03,1658305471.210984
2024-03-04,1687016362.019422
2024-03-05,1571721744.676494
2024-03-06,1869617851.026134
2024-03-07,1962723674.959951
2024-03-08,1952590183.383784
2024-03-09,1928191620.302372
2024-03-10,1862409873.391309
2024-03-11,2013578555.14693
2024-03-12,1993781162.162625
2024-03-13,2102596826.203936
2024-03-14,2052844834.36477
2024-03-15,1902661178.154782
2024-03-16,1745066534.535481
2024-03-17,1869172304.398788
2024-03-18,1830130052.70159
2024-03-19,1616873578.685827
2024-03-20,1773149111.935526
2024-03-21,1817281594.151834
2024-03-22,1744386752.985311
2024-03-23,1804425638.204927
2024-03-24,1844296968.301449
2024-03-25,1869523947.703674
2024-03-26,1932765392.873973
2024-03-27,1836645386.165518
2024-03-28,1890913207.185447
2024-03-29,1886399285.728111
2024-03-30,1832366126.767165
2024-03-31,1893779646.46203
2024-04-01,1917814607.713037
2024-04-02,1711197018.25325
2024-04-03,1705156445.201138
2024-04-04,1720633608.790094
2024-04-05,1688302971.893149
2024-04-06,1755188911.72443
2024-04-07,1819447967.814359
2024-04-08,1907947335.857129
2024-04-09,1864104390.273468
2024-04-10,1877418372.534986
2024-04-11,1745804294.017247
2024-04-12,1486504725.770152
2024-04-13,1230697359.14872
2024-04-14,1305220935.166766
2024-04-15,1257772073.99569
2024-04-16,1286375866.96752
2024-04-17,1238058965.019488
2024-04-18,1262547177.825895
2024-04-19,1278025025.055138
2024-04-20,1354908759.87579
2024-04-21,1347411841.173912
2024-04-22,1427754543.083937
2024-04-23,1401636350.735859
2024-04-24,1343148128.176923
2024-04-25,1357790230.365362
2024-04-26,1324108938.246483
2024-04-27,1359894845.402177
2024-04-28,1336100770.404082
2024-04-29,1326086155.343253
2024-04-30,1237802823.344139
2024-05-01,1244231168.796048
2024-05-02,1258369210.230495
2024-05-03,1316447375.194803
2024-05-04,1319332134.914527
2024-05-05,1327547289.665544
2024-05-06,1302570825.456836
2024-05-07,1307878728.084044
2024-05-08,1277389063.966628
2024-05-09,1328490711.815374
2024-05-10,1258026235.082811
2024-05-11,1216346446.527784
2024-05-12,1229968062.551573
2024-05-13,1225453208.14603
2024-05-14,1190249129.539954
2024-05-15,1278234175.601583
2024-05-16,1274045093.461269
2024-05-17,1305308770.885898
2024-05-18,1306240358.998167
2024-05-19,1263313132.806844
2024-05-20,1444092688.65823
2024-05-21,1438559732.764782
2024-05-22,1399546899.098233
2024-05-23,1445907181.10851
2024-05-24,1473103041.352768
2024-05-25,1560103979.639193
2024-05-26,1625548972.042288
2024-05-27,1606886363.528765
2024-05-28,1579213856.276642
2024-05-29,1537184672.887958
2024-05-30,1523666852.022588
2024-05-31,1541362100.831317
2024-06-01,1543210908.941116
2024-06-02,1536070577.422872
2024-06-03,1496612407.114842
2024-06-04,1530690535.019855
2024-06-05,1546883914.870484
2024-06-06,1518636704.98254
2024-06-07,1457157030.667186
2024-06-08,1381512425.418327
2024-06-09,1388951000.447862
2024-06-10,1348197634.412272
2024-06-11,1302322425.713676
2024-06-12,1336000821.545097
2024-06-13,1245280953.759191
2024-06-14,1241064052.340599
2024-06-15,1273611008.88251
2024-06-16,1267267624.391082
2024-06-17,1263286579.769741
2024-06-18,1213786323.916102
2024-06-19,1300644533.602896
2024-06-20,1261395466.756411
2024-06-21,1217054431.135402
2024-06-22,1211804186.348105
2024-06-23,1196542352.464402
2024-06-24,1283542615.041494
2024-06-25,1367324514.694678
2024-06-26,1402305848.474206
2024-06-27,1395930936.806901
2024-06-28,1391686894.596689
2024-06-29,1434386616.294652
2024-06-30,1437837120.874695
