Date,Compound - Circulating market cap ($)
2023-04-08,289235917.73784
2023-04-09,293967157.99743
2023-04-10,300328471.771853
2023-04-11,298214052.429693
2023-04-12,295819072.245509
2023-04-13,303826604.4685
2023-04-14,309493149.778226
2023-04-15,310331311.518002
2023-04-16,317124164.733517
2023-04-17,311402343.476826
2023-04-18,317197706.215127
2023-04-19,282848649.896111
2023-04-20,277202273.48981
2023-04-21,265295735.236091
2023-04-22,275185882.921729
2023-04-23,270903183.879538
2023-04-24,272448232.920709
2023-04-25,276180688.308803
2023-04-26,271398552.458937
2023-04-27,279563947.733744
2023-04-28,279161990.43818
2023-04-29,290710792.418986
2023-04-30,286328839.666035
2023-05-01,273977373.362036
2023-05-02,272965203.307746
2023-05-03,279005084.479082
2023-05-04,273698304.547342
2023-05-05,278561828.820906
2023-05-06,269659307.670129
2023-05-07,265328843.40545
2023-05-08,249760820.995626
2023-05-09,250377590.94518
2023-05-10,251382114.897594
2023-05-11,243254900.607247
2023-05-12,240131506.005636
2023-05-13,237436021.196367
2023-05-14,238760599.323685
2023-05-15,239927559.840014
2023-05-16,240771248.545476
2023-05-17,246895908.863455
2023-05-18,244479823.495667
2023-05-19,246773306.492378
2023-05-20,244951896.802493
2023-05-21,237418162.584766
2023-05-22,241572872.935148
2023-05-23,243472170.674614
2023-05-24,238567408.365575
2023-05-25,232260699.07437
2023-05-26,235363320.674417
2023-05-27,240461564.059887
2023-05-28,250732728.084712
2023-05-29,252494034.785225
2023-05-30,250245528.193362
2023-05-31,246036747.609065
2023-06-01,242572969.138008
2023-06-02,244674943.035612
2023-06-03,243256020.335319
2023-06-04,243488624.100104
2023-06-05,223889147.607496
2023-06-06,231731665.183752
2023-06-07,219973825.342223
2023-06-08,219346519.943997
2023-06-09,220605240.998267
2023-06-10,182777769.422201
2023-06-11,179002645.782208
2023-06-12,193976408.569787
2023-06-13,186473760.154938
2023-06-14,181671418.684899
2023-06-15,184798935.31696
2023-06-16,190603733.932742
2023-06-17,196410675.694465
2023-06-18,191545614.473517
2023-06-19,194361990.678548
2023-06-20,197073805.478493
2023-06-21,204359556.917382
2023-06-22,202586787.567162
2023-06-23,208815048.221291
2023-06-24,208921316.514785
2023-06-25,257482184.100257
2023-06-26,244605319.560415
2023-06-27,290081417.650455
2023-06-28,277873340.608364
2023-06-29,343798363.681505
2023-06-30,382203787.564901
2023-07-01,358439743.148994
2023-07-02,454693913.586881
2023-07-03,436250264.672096
2023-07-04,430053324.134044
2023-07-05,409676678.915173
2023-07-06,389877652.504073
2023-07-07,381879948.66276
2023-07-08,367903782.141023
2023-07-09,413231070.361834
2023-07-10,405626457.966949
2023-07-11,452324790.677828
2023-07-12,486608302.524329
2023-07-13,473792048.369093
2023-07-14,456959109.008104
2023-07-15,521965365.694235
2023-07-16,528852310.852973
2023-07-17,522493710.521904
2023-07-18,488203129.500558
2023-07-19,475011806.373318
2023-07-20,502191310.107775
2023-07-21,486625659.021394
2023-07-22,480030436.753464
2023-07-23,483761896.971615
2023-07-24,435611469.224863
2023-07-25,426814581.684421
2023-07-26,484930008.828123
2023-07-27,480326445.547319
2023-07-28,492736371.881508
2023-07-29,495578219.830368
2023-07-30,486669456.702154
2023-07-31,454198824.85312
2023-08-01,449865787.087043
2023-08-02,424297845.89223
2023-08-03,411475909.699854
2023-08-04,397172158.266408
2023-08-05,394958607.06549
2023-08-06,388314601.85054
2023-08-07,372524520.885651
2023-08-08,383493247.678217
2023-08-09,383598886.099698
2023-08-10,379462907.986663
2023-08-11,379929108.803687
2023-08-12,379208672.373234
2023-08-13,372805855.710327
2023-08-14,383079059.619728
2023-08-15,348132318.186962
2023-08-16,320320236.99577
2023-08-17,273982824.502568
2023-08-18,288625222.168688
2023-08-19,292625369.036854
2023-08-20,290352872.823919
2023-08-21,285562706.407645
2023-08-22,289982634.221195
2023-08-23,294996330.11367
2023-08-24,297215016.288973
2023-08-25,292535682.796078
2023-08-26,288403267.067852
2023-08-27,288884386.203902
2023-08-28,287822889.715236
2023-08-29,299187351.442348
2023-08-30,294030276.251387
2023-08-31,281334755.746872
2023-09-01,274358946.514196
2023-09-02,276900502.218209
2023-09-03,276353327.092198
2023-09-04,275144171.460437
2023-09-05,274511347.701406
2023-09-06,275658455.863761
2023-09-07,274329968.612161
2023-09-08,271846574.550668
2023-09-09,269016104.665038
