Date,Curve - Circulating market cap ($)
2023-04-08,816892113.885287
2023-04-09,807643851.233925
2023-04-10,819761014.65502
2023-04-11,813591946.894421
2023-04-12,821460674.446744
2023-04-13,852825559.35224
2023-04-14,872245775.685095
2023-04-15,873681440.373127
2023-04-16,886969832.29436
2023-04-17,844028013.984249
2023-04-18,864972481.642514
2023-04-19,768536797.447455
2023-04-20,760240146.649076
2023-04-21,742774046.091505
2023-04-22,756970751.934909
2023-04-23,762574929.495571
2023-04-24,748940891.544369
2023-04-25,760660077.911227
2023-04-26,743232774.514121
2023-04-27,763963526.406149
2023-04-28,749117956.692136
2023-04-29,758043350.082616
2023-04-30,739924873.046782
2023-05-01,716421024.764264
2023-05-02,736164135.19179
2023-05-03,788613618.448915
2023-05-04,754125939.355452
2023-05-05,775616086.098738
2023-05-06,733097240.830172
2023-05-07,724752181.087982
2023-05-08,676955624.029984
2023-05-09,680250454.254099
2023-05-10,683236399.25728
2023-05-11,651878368.07484
2023-05-12,664726767.64849
2023-05-13,661948361.696128
2023-05-14,656735443.738874
2023-05-15,676317083.111143
2023-05-16,678971175.463496
2023-05-17,683306955.801262
2023-05-18,677587224.970846
2023-05-19,678303921.993182
2023-05-20,678599944.44392
2023-05-21,684830862.493794
2023-05-22,695650475.532811
2023-05-23,707680786.807084
2023-05-24,684179465.278092
2023-05-25,675485363.552694
2023-05-26,700697330.53988
2023-05-27,695506091.118402
2023-05-28,707596661.224861
2023-05-29,700198880.911332
2023-05-30,688825259.469644
2023-05-31,669941075.904998
2023-06-01,666327341.764491
2023-06-02,702900650.219492
2023-06-03,701312138.004006
2023-06-04,697905161.322339
2023-06-05,639522183.649514
2023-06-06,653340227.776092
2023-06-07,616421782.90868
2023-06-08,623020984.591368
2023-06-09,617779291.567993
2023-06-10,572628891.389469
2023-06-11,568710325.386183
2023-06-12,541884693.590986
2023-06-13,552494393.845913
2023-06-14,488762360.299184
2023-06-15,516396716.292112
2023-06-16,531076881.201679
2023-06-17,529062586.165722
2023-06-18,532472729.829444
2023-06-19,537826226.811272
2023-06-20,565411867.040971
2023-06-21,588128327.338793
2023-06-22,572564790.093028
2023-06-23,590312029.077926
2023-06-24,572723726.308974
2023-06-25,603765433.370137
2023-06-26,581109290.01185
2023-06-27,595006297.178624
2023-06-28,568289279.374353
