Date,Lido Finance - Circulating market cap ($)
2023-04-08,2071840307.309249
2023-04-09,2036522328.597401
2023-04-10,2140179864.56111
2023-04-11,2025021906.424272
2023-04-12,2031108976.629306
2023-04-13,2130965417.902588
2023-04-14,2283115689.003162
2023-04-15,2184681628.092524
2023-04-16,2242075058.076304
2023-04-17,2168277411.883237
2023-04-18,2202446894.53349
2023-04-19,1965224009.656305
2023-04-20,1865839768.667775
2023-04-21,1785483382.567206
2023-04-22,1838073632.52465
2023-04-23,1807279454.032936
2023-04-24,1822627325.922738
2023-04-25,1876561850.911182
2023-04-26,1799507644.806075
2023-04-27,1872429051.607126
2023-04-28,1827323488.216385
2023-04-29,1838657215.956728
2023-04-30,1786808029.821715
2023-05-01,1730113798.54984
2023-05-02,1745768954.741343
2023-05-03,1773196590.629197
2023-05-04,1665966265.291164
2023-05-05,1701692545.049656
2023-05-06,1619030752.517496
2023-05-07,1611242003.147129
2023-05-08,1598763952.934264
2023-05-09,1622747520.649701
2023-05-10,1646067514.929302
2023-05-11,1454170022.721473
2023-05-12,1661315671.405608
2023-05-13,1656888117.655803
2023-05-14,1695739278.626872
2023-05-15,1875806149.977313
2023-05-16,1939261522.414251
2023-05-17,2080650945.490614
2023-05-18,1888801255.673169
2023-05-19,1914817764.82647
2023-05-20,1881095951.84544
2023-05-21,1818867535.12206
2023-05-22,1783280157.88098
2023-05-23,1796681518.464829
2023-05-24,1816185867.830558
2023-05-25,1768340645.657709
2023-05-26,1750929608.246061
2023-05-27,1735102163.216041
2023-05-28,1848715353.727146
2023-05-29,1919693191.089488
2023-05-30,1899012754.789377
2023-05-31,1843093841.745039
2023-06-01,1834659674.055473
2023-06-02,2023539751.481861
2023-06-03,2026929365.921303
2023-06-04,2005705896.786585
2023-06-05,1941808114.190016
2023-06-06,2114133016.98949
2023-06-07,2004509554.060541
2023-06-08,1902175688.705064
2023-06-09,1894111476.994999
2023-06-10,1600543184.782946
2023-06-11,1598101472.673468
2023-06-12,1576700114.943912
2023-06-13,1558842782.794446
2023-06-14,1487163910.451837
2023-06-15,1480766824.964745
2023-06-16,1540060434.378613
2023-06-17,1572421799.305702
2023-06-18,1506068656.59657
2023-06-19,1557933021.870896
2023-06-20,1631568550.012449
2023-06-21,1718112950.985055
2023-06-22,1667925868.504868
2023-06-23,1693879277.20205
2023-06-24,1607529951.690154
2023-06-25,1704453966.744395
2023-06-26,1691266736.266496
2023-06-27,1719687328.651738
2023-06-28,1632932908.360582
2023-06-29,1654945069.860384
2023-06-30,1804832493.024118
2023-07-01,1877243488.343468
2023-07-02,1868593105.730796
2023-07-03,1938983911.328457
2023-07-04,1906026470.050944
2023-07-05,1817653598.117071
2023-07-06,1699214200.771547
2023-07-07,1698320936.448786
2023-07-08,1718812576.873803
2023-07-09,1691433821.397196
2023-07-10,1722786394.377957
2023-07-11,1685880437.300218
2023-07-12,1658576053.899224
2023-07-13,1997612578.811239
2023-07-14,2057404009.395871
2023-07-15,2033632833.556933
2023-07-16,1910154158.568026
2023-07-17,1812822744.388278
2023-07-18,1778825297.463462
2023-07-19,1831397088.812003
2023-07-20,1806203417.863752
2023-07-21,1777027224.298624
2023-07-22,1745220010.744526
2023-07-23,1801027290.186796
2023-07-24,1736164142.455826
2023-07-25,1718725816.0263
2023-07-26,1694247081.630314
2023-07-27,1680377109.955077
2023-07-28,1698351072.514882
2023-07-29,1712643593.498887
2023-07-30,1660148247.516398
2023-07-31,1625127718.494525
2023-08-01,1701346315.91866
2023-08-02,1625085827.643459
2023-08-03,1643595254.679914
2023-08-04,1613834441.335042
2023-08-05,1624194254.432825
2023-08-06,1604947280.936257
2023-08-07,1618418655.534725
2023-08-08,1632396899.185987
2023-08-09,1657093960.115057
2023-08-10,1632441842.619924
2023-08-11,1629305083.238796
2023-08-12,1619802235.093572
2023-08-13,1596774843.535564
2023-08-14,1619909180.65982
2023-08-15,1519327333.483565
2023-08-16,1487287328.314313
2023-08-17,1435660154.853227
2023-08-18,1434727686.608398
2023-08-19,1450986053.44339
2023-08-20,1467601796.199281
2023-08-21,1428100718.092094
2023-08-22,1430462359.122412
2023-08-23,1486705840.406571
2023-08-24,1431346908.532037
2023-08-25,1380801927.15055
