Date,Uniswap - Circulating market cap ($)
2023-04-08,4467768898.127544
2023-04-09,4462993840.650317
2023-04-10,4541748707.564676
2023-04-11,4479515267.831268
2023-04-12,4484300231.782726
2023-04-13,4676133349.705781
2023-04-14,4757253852.019881
2023-04-15,4730457747.759178
2023-04-16,4760421604.888949
2023-04-17,4614340584.397668
2023-04-18,4776865098.725458
2023-04-19,4395024790.026744
2023-04-20,4356612694.123208
2023-04-21,4112534550.497599
2023-04-22,4149610005.538114
2023-04-23,4083709292.01799
2023-04-24,4036698427.738177
2023-04-25,4117759970.395816
2023-04-26,4025463789.24605
2023-04-27,4190176421.711198
2023-04-28,4165451910.053211
2023-04-29,4241663033.937427
2023-04-30,4125723194.400938
2023-05-01,4017411994.83028
2023-05-02,4011770597.401062
2023-05-03,4059212839.562196
2023-05-04,3967626639.247978
2023-05-05,4177003786.337612
2023-05-06,3988317785.39971
2023-05-07,3972602974.30464
2023-05-08,3747756211.20914
2023-05-09,3734143759.961482
2023-05-10,3865719204.966702
2023-05-11,3821461606.802976
2023-05-12,3916598557.801766
2023-05-13,3857966129.555996
2023-05-14,3864117973.487276
2023-05-15,3872167081.0188
2023-05-16,3883581067.928721
2023-05-17,4003310495.291919
2023-05-18,4001865245.95629
2023-05-19,4009735805.531442
2023-05-20,3981323149.984158
2023-05-21,3856578252.97961
2023-05-22,3833484546.952709
2023-05-23,3823091223.878108
2023-05-24,3760123211.275022
2023-05-25,3728187792.227686
2023-05-26,3751508939.646949
2023-05-27,3799061339.945476
2023-05-28,3883289155.762318
2023-05-29,3852537116.727532
2023-05-30,3870222778.708176
2023-05-31,3782203161.574936
2023-06-01,3757848972.454962
2023-06-02,3817969389.944882
2023-06-03,3832403880.506156
2023-06-04,3780133333.683368
2023-06-05,3571232006.449373
2023-06-06,3598471523.198298
2023-06-07,3418869249.425958
2023-06-08,3495295854.718223
2023-06-09,3454520604.86023
2023-06-10,3076712266.03127
2023-06-11,3050004178.721858
2023-06-12,3242017092.022024
2023-06-13,3228122002.452922
2023-06-14,3321050222.74857
2023-06-15,3332985370.62101
2023-06-16,3427071949.575742
2023-06-17,3408510528.131619
2023-06-18,3372031311.8613
2023-06-19,3371889597.573766
2023-06-20,3441849794.986944
2023-06-21,3607719687.505027
2023-06-22,3569120803.490653
2023-06-23,3665294760.797446
2023-06-24,3566595361.310091
2023-06-25,4104421717.559902
2023-06-26,3963368827.934585
2023-06-27,3971865950.344858
2023-06-28,3644972957.47273
2023-06-29,3718682161.878518
2023-06-30,3974301621.318058
2023-07-01,4206571344.434642
2023-07-02,4179354927.03256
2023-07-03,4156539537.778073
2023-07-04,4163871296.825137
2023-07-05,4091876591.553836
2023-07-06,4005105590.80432
2023-07-07,4123937757.237142
2023-07-08,3948151495.2628
2023-07-09,3930974718.154736
2023-07-10,3942618699.605214
2023-07-11,3962690181.241324
2023-07-12,3980439452.55449
2023-07-13,4401811235.794664
2023-07-14,4405082707.093525
2023-07-15,4370988463.935704
2023-07-16,4317207361.100198
2023-07-17,4458614665.657943
2023-07-18,4437271573.311535
2023-07-19,4425299492.201328
2023-07-20,4526505199.704583
2023-07-21,4686213885.128025
2023-07-22,4518518585.238613
2023-07-23,4635924405.556448
2023-07-24,4356121040.27241
2023-07-25,4361792927.983698
2023-07-26,4400995271.152155
2023-07-27,4418699638.642598
2023-07-28,4524800716.41274
2023-07-29,4770115437.84684
2023-07-30,4831383010.632866
2023-07-31,4939848563.359335
